GDAY_DS,VISIT_KEY,HOME_KEY,STADIUM
20160605,HH,SS,대구
20160605,LG,KT,수원
20160605,NC,LT,사직
20160605,SK,OB,잠실
20160605,WO,HT,광주
20160607,HT,HH,대전
20160607,LT,SK,문학
20160607,OB,KT,수원
20160607,SS,LG,잠실
20160607,WO,NC,마산
20160608,HT,HH,대전
20160608,LT,SK,문학
20160608,OB,KT,수원
20160608,SS,LG,잠실
20160608,WO,NC,마산
20160609,HT,HH,대전
20160609,LT,SK,문학
20160609,OB,KT,수원
20160609,SS,LG,잠실
20160609,WO,NC,마산
20160610,KT,WO,고척
20160610,LG,HH,대전
20160610,LT,OB,잠실
20160610,NC,SK,문학
20160610,SS,HT,광주
20160611,KT,WO,고척
20160611,LG,HH,대전
20160611,LT,OB,잠실
20160611,NC,SK,문학
20160611,SS,HT,광주
20160612,KT,WO,고척
20160612,LG,HH,대전
20160612,LT,OB,잠실
20160612,NC,SK,문학
20160612,SS,HT,광주
20160614,HH,KT,수원
20160614,LT,WO,고척
20160614,NC,LG,잠실
20160614,OB,HT,광주
20160614,SK,SS,대구
20160615,LT,WO,고척
20160615,OB,HT,광주
20160615,SK,SS,대구
20160616,HH,KT,수원
20160616,LT,WO,고척
20160616,NC,LG,잠실
20160616,OB,HT,광주
20160616,SK,SS,대구
20160617,HT,LG,잠실
20160617,NC,KT,수원
20160617,OB,SS,대구
20160617,SK,LT,사직
20160617,WO,HH,청주
20160618,HT,LG,잠실
20160618,NC,KT,수원
20160618,OB,SS,대구
20160618,SK,LT,사직
20160618,WO,HH,청주
20160619,HT,LG,잠실
20160619,NC,KT,수원
20160619,OB,SS,대구
20160619,SK,LT,사직
20160619,WO,HH,청주
20160621,HH,NC,마산
20160621,KT,OB,잠실
20160621,LG,SK,문학
20160621,LT,HT,광주
20160621,SS,WO,고척
20160622,LG,SK,문학
20160622,LT,HT,광주
20160622,SS,WO,고척
20160623,HH,NC,마산
20160623,KT,OB,잠실
20160623,LG,SK,문학
20160623,LT,HT,광주
20160623,SS,WO,고척
20160624,HT,NC,마산
20160624,KT,SS,대구
20160624,LT,HH,대전
20160624,OB,SK,문학
20160624,WO,LG,잠실
20160625,HT,NC,마산
20160625,KT,SS,대구
20160625,LT,HH,대전
20160625,OB,SK,문학
20160625,WO,LG,잠실
20160626,HT,NC,마산
20160626,KT,SS,대구
20160626,LT,HH,대전
20160626,OB,SK,문학
20160626,WO,LG,잠실
20160628,HH,WO,고척
20160628,LG,HT,광주
20160628,NC,OB,잠실
20160628,SK,KT,수원
20160628,SS,LT,사직
20160629,HH,WO,고척
20160629,LG,HT,광주
20160629,NC,OB,잠실
20160629,SK,KT,수원
20160629,SS,LT,사직
20160630,HH,WO,고척
20160630,LG,HT,광주
20160630,NC,OB,잠실
20160630,SK,KT,수원
20160630,SS,LT,사직
20160701,HT,WO,고척
20160702,HT,WO,고척
20160702,OB,HH,대전
20160702,SK,LG,잠실
20160703,HT,WO,고척
20160703,SK,LG,잠실
20160705,LG,SS,대구
20160706,HH,SK,문학
20160706,HT,KT,수원
20160706,LT,NC,마산
20160706,WO,OB,잠실
20160707,HH,SK,문학
20160707,HT,KT,수원
20160707,LG,SS,대구
20160707,LT,NC,마산
20160707,WO,OB,잠실
20160708,HT,OB,잠실
20160708,KT,SK,문학
20160708,LG,LT,사직
20160708,NC,WO,고척
20160708,SS,HH,대전
20160709,HT,OB,잠실
20160709,KT,SK,문학
20160709,LG,LT,사직
20160709,NC,WO,고척
20160709,SS,HH,대전
20160710,HT,OB,잠실
20160710,KT,SK,문학
20160710,LG,LT,사직
20160710,NC,WO,고척
20160710,SS,HH,대전
20160712,HH,LG,잠실
20160712,LT,SS,포항
20160712,OB,NC,마산
20160712,SK,HT,광주
20160712,WO,KT,수원
20160713,HH,LG,잠실
20160713,LT,SS,포항
20160713,OB,NC,마산
20160713,SK,HT,광주
20160713,WO,KT,수원
20160714,HH,LG,잠실
20160714,LT,SS,포항
20160714,OB,NC,마산
20160714,SK,HT,광주
20160714,WO,KT,수원
20160719,HT,LT,사직
20160719,KT,HH,대전
20160719,LG,WO,고척
20160719,SK,NC,마산
20160719,SS,OB,잠실
20160720,HT,LT,사직
20160720,KT,HH,대전
20160720,LG,WO,고척
20160720,SK,NC,마산
20160720,SS,OB,잠실
20160721,HT,LT,사직
20160721,KT,HH,대전
20160721,LG,WO,고척
20160721,SK,NC,마산
20160721,SS,OB,잠실
20160722,HH,LT,사직
20160722,NC,HT,광주
20160722,OB,LG,잠실
20160722,SS,KT,수원
20160722,WO,SK,문학
20160723,HH,LT,사직
20160723,NC,HT,광주
20160723,OB,LG,잠실
20160723,SS,KT,수원
20160723,WO,SK,문학
20160724,HH,LT,사직
20160724,NC,HT,광주
20160724,OB,LG,잠실
20160724,SS,KT,수원
20160724,WO,SK,문학
20160726,KT,HT,광주
20160726,LT,LG,잠실
20160726,NC,SS,대구
20160726,OB,WO,고척
20160726,SK,HH,대전
20160727,KT,HT,광주
20160727,LT,LG,잠실
20160727,NC,SS,대구
20160727,OB,WO,고척
20160727,SK,HH,대전
20160728,KT,HT,광주
20160728,LT,LG,잠실
20160728,NC,SS,대구
20160728,OB,WO,고척
20160728,SK,HH,대전
20160729,HH,OB,잠실
20160729,HT,SK,문학
20160729,LG,NC,마산
20160729,LT,KT,수원
20160729,WO,SS,대구
20160730,HH,OB,잠실
20160730,HT,SK,문학
20160730,LG,NC,마산
20160730,LT,KT,수원
20160731,HH,OB,잠실
20160731,HT,SK,문학
20160731,LG,NC,마산
20160731,LT,KT,수원
20160802,HH,HT,광주
20160802,LG,OB,잠실
20160803,HH,HT,광주
20160803,LG,OB,잠실
20160803,SS,SK,문학
20160803,WO,LT,사직
20160804,HH,HT,광주
20160804,KT,NC,마산
20160804,LG,OB,잠실
20160804,SS,SK,문학
20160804,WO,LT,사직
20160805,HT,SS,대구
20160805,KT,LG,잠실
20160805,NC,HH,대전
20160805,OB,LT,사직
20160805,SK,WO,고척
20160806,HT,SS,대구
20160806,KT,LG,잠실
20160806,NC,HH,대전
20160806,OB,LT,사직
20160806,SK,WO,고척
20160807,HT,SS,대구
20160807,KT,LG,잠실
20160807,NC,HH,대전
20160807,OB,LT,사직
20160807,SK,WO,고척
20160809,HT,OB,잠실
20160809,LG,SK,문학
20160809,LT,NC,마산
20160809,SS,HH,대전
20160809,WO,KT,수원
20160810,HT,OB,잠실
20160810,LG,SK,문학
20160810,LT,NC,마산
20160810,SS,HH,대전
20160810,WO,KT,수원
20160811,HH,LT,울산
20160811,HT,WO,고척
20160811,KT,SK,문학
20160811,NC,LG,잠실
20160811,OB,SS,대구
20160812,HH,LT,울산
20160812,HT,WO,고척
20160812,KT,SK,문학
20160812,NC,LG,잠실
20160812,OB,SS,대구
20160813,HH,HT,광주
20160813,KT,NC,마산
20160813,LG,SS,대구
20160813,LT,SK,문학
20160813,WO,OB,잠실
20160814,HH,HT,광주
20160814,KT,NC,마산
20160814,LG,SS,대구
20160814,LT,SK,문학
20160814,WO,OB,잠실
20160816,KT,HT,광주
20160816,LT,WO,고척
20160816,OB,HH,청주
20160816,SK,LG,잠실
20160816,SS,NC,마산
20160817,LT,WO,고척
20160817,OB,HH,청주
20160817,SK,LG,잠실
20160817,SS,NC,마산
20160818,HH,LG,잠실
20160818,HT,LT,사직
20160818,NC,WO,고척
20160818,OB,SK,문학
20160818,SS,KT,수원
20160819,HH,LG,잠실
20160819,HT,LT,사직
20160819,NC,WO,고척
20160819,OB,SK,문학
20160819,SS,KT,수원
20160820,HH,KT,수원
20160820,LG,HT,광주
20160820,NC,OB,잠실
20160820,SK,LT,사직
20160820,SS,WO,고척
20160821,HH,KT,수원
20160821,LG,HT,광주
20160821,NC,OB,잠실
20160821,SK,LT,사직
20160821,SS,WO,고척
20160823,HT,NC,마산
20160823,KT,LT,울산
20160823,LG,OB,잠실
20160823,SK,SS,대구
20160824,HT,NC,마산
20160824,KT,LT,울산
20160824,LG,OB,잠실
20160824,SK,SS,대구
20160824,WO,HH,대전
20160825,LG,WO,고척
20160825,NC,HH,대전
20160825,SK,KT,수원
20160825,SS,HT,광주
20160826,LG,WO,고척
20160826,LT,OB,잠실
20160826,NC,HH,대전
20160826,SK,KT,수원
20160827,HH,SK,문학
20160827,KT,LG,잠실
20160827,LT,SS,대구
20160827,OB,HT,광주
20160827,WO,NC,마산
20160828,HH,SK,문학
20160828,KT,LG,잠실
20160828,OB,HT,광주
20160830,HH,OB,잠실
20160830,LG,LT,사직
20160830,NC,KT,수원
20160830,SK,HT,광주
20160830,WO,SS,대구
20160831,LG,LT,사직
20160831,NC,KT,수원
20160831,SK,HT,광주
20160831,WO,SS,대구
20160901,HT,SS,대구
20160901,KT,OB,잠실
20160901,LG,HH,대전
20160901,NC,LT,사직
20160901,SK,WO,고척
20160902,KT,OB,잠실
20160902,LG,HH,대전
20160902,SK,WO,고척
20160903,HH,WO,고척
20160903,LG,KT,수원
20160903,LT,HT,광주
20160903,SK,NC,마산
20160903,SS,OB,잠실
20160904,HH,WO,고척
20160904,LG,KT,수원
20160904,LT,HT,광주
20160904,SK,NC,마산
20160904,SS,OB,잠실
20160906,HH,NC,마산
20160906,HT,SK,문학
20160906,KT,SS,대구
20160906,OB,LT,사직
20160906,WO,LG,잠실
20160907,HH,NC,마산
20160907,HT,SK,문학
20160907,KT,SS,대구
20160907,OB,LT,사직
20160907,WO,LG,잠실
20160908,KT,HH,대전
20160908,NC,HT,광주
20160908,OB,LG,잠실
20160908,SS,LT,사직
20160908,WO,SK,문학
20160909,KT,HH,대전
20160909,NC,HT,광주
20160909,OB,LG,잠실
20160909,SS,LT,사직
20160909,WO,SK,문학
20160910,HT,KT,수원
20160910,LT,LG,잠실
20160910,NC,SS,대구
20160910,OB,WO,고척
20160910,SK,HH,대전
20160911,HT,KT,수원
20160911,LT,LG,잠실
20160911,NC,SS,대구
20160911,OB,WO,고척
20160911,SK,HH,대전
20160913,HH,SS,대구
20160913,LG,NC,마산
20160913,LT,KT,수원
20160913,SK,OB,잠실
20160913,WO,HT,광주
20160914,HH,SS,대구
20160914,LG,NC,마산
20160914,LT,KT,수원
20160914,SK,OB,잠실
20160914,WO,HT,광주
20160915,HT,LG,잠실
20160915,KT,WO,고척
20160915,LT,HH,대전
20160915,OB,NC,마산
20160915,SS,SK,문학
20160916,HT,LG,잠실
20160916,KT,WO,고척
20160916,LT,HH,대전
20160916,OB,NC,마산
20160916,SS,SK,문학
20160917,NC,SK,문학
20160917,OB,KT,수원
20160917,SS,LG,잠실
20160918,HT,HH,대전
20160918,NC,SK,문학
20160918,OB,KT,수원
20160918,SS,LG,잠실
20160918,WO,LT,사직
20160919,HT,HH,대전
20160919,WO,LT,사직
20160920,LG,HH,대전
20160920,NC,KT,수원
20160920,SS,OB,잠실
20160920,WO,HT,광주
20160921,LT,SS,대구
20160921,NC,LG,잠실
20160921,WO,HT,광주
20160922,KT,OB,잠실
20160922,NC,HH,대전
20160923,HT,NC,마산
20160923,OB,SS,대구
20160923,SK,KT,수원
20160924,HH,LG,잠실
20160924,LT,NC,마산
20160924,WO,SS,대구
20160925,HH,SK,문학
20160925,HT,KT,수원
20160925,LT,NC,마산
20160925,WO,SS,대구
20160927,KT,LT,사직
20160927,LG,HT,광주
20160927,OB,HH,대전
20160927,SS,NC,마산
20160928,OB,HH,대전
20160929,KT,LT,사직
20160929,SS,NC,마산
20160929,SS,NC,마산
20160929,WO,OB,잠실
20160930,HH,NC,마산
20160930,KT,LT,사직
20160930,SK,LG,잠실
20161001,NC,LT,사직
20161001,SK,LG,잠실
20161002,KT,HT,광주
20161002,NC,LT,사직
20161002,WO,HH,대전
20161003,HH,OB,잠실
20161003,KT,HT,광주
20161003,LG,SS,대구
20161004,LG,SS,대구
20161004,LT,OB,잠실
20161004,WO,NC,마산
20161005,HH,KT,수원
20161005,HT,SS,대구
20161005,WO,NC,마산
20161006,LG,LT,사직
20161006,SK,NC,마산
20161006,SS,HT,광주
20161007,KT,NC,마산
20161007,WO,LT,사직
20161008,HT,HH,대전
20161008,OB,LG,잠실
20161008,SS,SK,문학
20161009,KT,NC,마산
20161009,WO,LT,사직
20170331,HH,OB,잠실
20170331,HT,SS,대구
20170331,KT,SK,문학
20170331,LG,WO,고척
20170331,LT,NC,마산
20170401,HH,OB,잠실
20170401,HT,SS,대구
20170401,KT,SK,문학
20170401,LG,WO,고척
20170401,LT,NC,마산
20170402,HH,OB,잠실
20170402,HT,SS,대구
20170402,KT,SK,문학
20170402,LG,WO,고척
20170402,LT,NC,마산
20170404,NC,HH,대전
20170404,OB,KT,수원
20170404,SK,HT,광주
20170404,SS,LG,잠실
20170404,WO,LT,사직
20170406,NC,HH,대전
20170406,OB,KT,수원
20170406,SK,HT,광주
20170406,SS,LG,잠실
20170406,WO,LT,사직
20170407,HH,HT,광주
20170407,LG,LT,사직
20170407,NC,SK,문학
20170407,SS,KT,수원
20170407,WO,OB,잠실
20170408,HH,HT,광주
20170408,LG,LT,사직
20170408,NC,SK,문학
20170408,SS,KT,수원
20170408,WO,OB,잠실
20170409,HH,HT,광주
20170409,LG,LT,사직
20170409,NC,SK,문학
20170409,SS,KT,수원
20170409,WO,OB,잠실
20170411,HH,SS,대구
20170411,HT,OB,잠실
20170411,KT,WO,고척
20170411,LG,NC,마산
20170411,LT,SK,문학
20170412,HH,SS,대구
20170412,HT,OB,잠실
20170412,KT,WO,고척
20170412,LG,NC,마산
20170412,LT,SK,문학
20170413,HH,SS,대구
20170413,HT,OB,잠실
20170413,KT,WO,고척
20170413,LG,NC,마산
20170413,LT,SK,문학
20170414,KT,LG,잠실
20170414,OB,NC,마산
20170414,SK,HH,대전
20170414,SS,LT,사직
20170414,WO,HT,광주
20170415,KT,LG,잠실
20170415,OB,NC,마산
20170415,SK,HH,대전
20170415,SS,LT,사직
20170415,WO,HT,광주
20170416,KT,LG,잠실
20170416,OB,NC,마산
20170416,SK,HH,대전
20170416,SS,LT,사직
20170416,WO,HT,광주
20170418,HT,KT,수원
20170418,LG,HH,대전
20170418,NC,LT,사직
20170418,SS,OB,잠실
20170418,WO,SK,문학
20170419,HT,KT,수원
20170419,LG,HH,대전
20170419,NC,LT,사직
20170419,SS,OB,잠실
20170419,WO,SK,문학
20170420,HT,KT,수원
20170420,LG,HH,대전
20170420,NC,LT,사직
20170420,SS,OB,잠실
20170420,WO,SK,문학
20170421,HH,KT,수원
20170421,HT,LG,잠실
20170421,LT,WO,고척
20170421,NC,SS,대구
20170421,OB,SK,문학
20170422,HH,KT,수원
20170422,HT,LG,잠실
20170422,LT,WO,고척
20170422,NC,SS,대구
20170422,OB,SK,문학
20170423,HH,KT,수원
20170423,HT,LG,잠실
20170423,LT,WO,고척
20170423,NC,SS,대구
20170423,OB,SK,문학
20170425,HH,LT,사직
20170425,KT,NC,마산
20170425,OB,WO,고척
20170425,SK,LG,잠실
20170425,SS,HT,광주
20170426,HH,LT,사직
20170426,KT,NC,마산
20170426,OB,WO,고척
20170426,SK,LG,잠실
20170426,SS,HT,광주
20170427,HH,LT,사직
20170427,KT,NC,마산
20170427,OB,WO,고척
20170427,SK,LG,잠실
20170427,SS,HT,광주
20170428,LG,KT,수원
20170428,LT,OB,잠실
20170428,NC,HT,광주
20170428,SK,SS,대구
20170428,WO,HH,대전
20170429,LG,KT,수원
20170429,LT,OB,잠실
20170429,NC,HT,광주
20170429,SK,SS,대구
20170429,WO,HH,대전
20170430,LG,KT,수원
20170430,LT,OB,잠실
20170430,NC,HT,광주
20170430,SK,SS,대구
20170430,WO,HH,대전
20170502,HH,SK,문학
20170502,HT,WO,고척
20170502,LT,KT,수원
20170502,NC,LG,잠실
20170502,OB,SS,대구
20170503,HH,SK,문학
20170503,HT,WO,고척
20170503,LT,KT,수원
20170503,NC,LG,잠실
20170503,OB,SS,대구
20170504,HH,SK,문학
20170504,HT,WO,고척
20170504,LT,KT,수원
20170504,NC,LG,잠실
20170504,OB,SS,대구
20170505,HT,LT,사직
20170505,KT,HH,대전
20170505,LG,OB,잠실
20170505,SK,WO,고척
20170505,SS,NC,마산
20170506,HT,LT,사직
20170506,KT,HH,대전
20170506,LG,OB,잠실
20170506,SK,WO,고척
20170506,SS,NC,마산
20170507,HT,LT,사직
20170507,KT,HH,대전
20170507,LG,OB,잠실
20170507,SK,WO,고척
20170507,SS,NC,마산
20170509,KT,HT,광주
20170510,KT,HT,광주
20170510,LG,SS,대구
20170510,LT,HH,대전
20170510,SK,OB,잠실
20170510,WO,NC,마산
20170511,KT,HT,광주
20170511,LG,SS,대구
20170511,LT,HH,대전
20170511,SK,OB,잠실
20170511,WO,NC,마산
20170512,HH,LG,잠실
20170512,HT,SK,문학
20170512,NC,KT,수원
20170512,WO,SS,대구
20170513,HH,LG,잠실
20170513,HT,SK,문학
20170513,NC,KT,수원
20170513,OB,LT,사직
20170513,WO,SS,대구
20170514,HH,LG,잠실
20170514,HT,SK,문학
20170514,NC,KT,수원
20170514,OB,LT,사직
20170514,WO,SS,대구
20170516,HH,WO,고척
20170516,KT,LT,사직
20170516,LG,HT,광주
20170516,NC,OB,잠실
20170516,SS,SK,문학
20170517,HH,WO,고척
20170517,KT,LT,사직
20170517,LG,HT,광주
20170517,NC,OB,잠실
20170517,SS,SK,문학
20170518,HH,WO,고척
20170518,KT,LT,사직
20170518,LG,HT,광주
20170518,NC,OB,잠실
20170518,SS,SK,문학
20170519,LT,LG,잠실
20170519,OB,HT,광주
20170519,SK,NC,마산
20170519,SS,HH,대전
20170519,WO,KT,수원
20170520,LT,LG,잠실
20170520,OB,HT,광주
20170520,SK,NC,마산
20170520,SS,HH,대전
20170520,WO,KT,수원
20170521,LT,LG,잠실
20170521,OB,HT,광주
20170521,SK,NC,마산
20170521,SS,HH,대전
20170521,WO,KT,수원
20170523,HT,HH,대전
20170523,KT,SS,대구
20170523,NC,WO,고척
20170523,SK,LT,사직
20170524,HT,HH,대전
20170524,KT,SS,대구
20170524,NC,WO,고척
20170524,OB,LG,잠실
20170524,SK,LT,사직
20170525,HT,HH,대전
20170525,KT,SS,대구
20170525,NC,WO,고척
20170525,OB,LG,잠실
20170525,SK,LT,사직
20170526,HH,NC,마산
20170526,KT,OB,잠실
20170526,LG,SK,문학
20170526,LT,HT,광주
20170526,SS,WO,고척
20170527,HH,NC,마산
20170527,KT,OB,잠실
20170527,LG,SK,문학
20170527,LT,HT,광주
20170527,SS,WO,고척
20170528,HH,NC,마산
20170528,KT,OB,잠실
20170528,LG,SK,문학
20170528,LT,HT,광주
20170528,SS,WO,고척
20170530,HT,NC,마산
20170530,LT,SS,대구
20170530,OB,HH,대전
20170530,SK,KT,수원
20170530,WO,LG,잠실
20170531,HT,NC,마산
20170531,LT,SS,대구
20170531,OB,HH,대전
20170531,SK,KT,수원
20170531,WO,LG,잠실
20170601,HT,NC,마산
20170601,LT,SS,대구
20170601,OB,HH,대전
20170601,SK,KT,수원
20170601,WO,LG,잠실
20170602,HT,SS,대구
20170602,KT,LT,사직
20170602,NC,LG,잠실
20170602,OB,WO,고척
20170602,SK,HH,대전
20170603,HT,SS,대구
20170603,KT,LT,사직
20170603,NC,LG,잠실
20170603,OB,WO,고척
20170603,SK,HH,대전
20170604,HT,SS,대구
20170604,KT,LT,사직
20170604,NC,LG,잠실
20170604,OB,WO,고척
20170604,SK,HH,대전
20170606,LT,NC,마산
20170606,SS,OB,잠실
20170606,WO,SK,문학
20170607,HH,HT,광주
20170607,LG,KT,수원
20170607,LT,NC,마산
20170607,SS,OB,잠실
20170607,WO,SK,문학
20170608,HH,HT,광주
20170608,LG,KT,수원
20170608,LT,NC,마산
20170608,SS,OB,잠실
20170608,WO,SK,문학
20170609,KT,NC,마산
20170609,OB,LT,울산
20170609,SK,LG,잠실
20170609,SS,HH,대전
20170609,WO,HT,광주
20170610,KT,NC,마산
20170610,OB,LT,울산
20170610,SK,LG,잠실
20170610,SS,HH,대전
20170610,WO,HT,광주
20170611,KT,NC,마산
20170611,OB,LT,울산
20170611,SK,LG,잠실
20170611,SS,HH,대전
20170611,WO,HT,광주
20170613,HH,SK,문학
20170613,HT,LT,사직
20170613,KT,SS,포항
20170613,LG,OB,잠실
20170613,NC,WO,고척
20170614,HH,SK,문학
20170614,HT,LT,사직
20170614,KT,SS,포항
20170614,LG,OB,잠실
20170614,NC,WO,고척
20170615,HH,SK,문학
20170615,HT,LT,사직
20170615,KT,SS,포항
20170615,LG,OB,잠실
20170615,NC,WO,고척
20170616,HH,KT,수원
20170616,LG,HT,광주
20170616,LT,WO,고척
20170616,NC,OB,잠실
20170616,SK,SS,대구
20170617,HH,KT,수원
20170617,LG,HT,광주
20170617,LT,WO,고척
20170617,NC,OB,잠실
20170617,SK,SS,대구
20170618,HH,KT,수원
20170618,LG,HT,광주
20170618,LT,WO,고척
20170618,NC,OB,잠실
20170618,SK,SS,대구
20170620,LT,KT,수원
20170620,NC,SK,문학
20170620,SS,LG,잠실
