GDAY_DS,T_ID,TB_SC,INN2,BF,PA-AB,AB,HIT,H1,H2,H3,HR,SB_SR,KK,WP,ER,ERA,BABIP,KK9,BB9
20160406,NC,T,24,133,2,30,5,4,0,0,1,0.0,8,0,2,0.25,0.19047619047619047,9.0,2.25
20160406,LT,B,15,74,5,16,1,1,0,0,0,0.0,2,0,0,0.0,0.07142857142857142,3.6,9.0
20160406,SK,T,15,112,4,27,14,8,3,0,3,0.5,2,0,11,2.2,0.5,3.6,5.4
20160406,KT,B,27,170,6,41,14,10,3,1,0,1.0,3,1,7,0.7777777777777778,0.3684210526315789,3.0,5.0
20160406,SS,T,27,138,2,36,7,2,2,0,3,0.0,6,1,6,0.6666666666666666,0.14814814814814814,6.0,2.0
20160406,HH,B,27,177,8,32,6,4,2,0,0,0.0,12,2,6,0.6666666666666666,0.3,12.0,8.0
20160406,WO,T,27,124,1,35,11,6,3,0,2,1.0,5,1,4,0.4444444444444444,0.32142857142857145,5.0,0.0
20160407,HT,B,27,162,5,38,11,8,1,0,2,1.0,9,0,8,0.8888888888888888,0.3333333333333333,9.0,5.0
20160407,LG,T,27,137,3,34,9,4,5,0,0,0.5,6,1,4,0.4444444444444444,0.32142857142857145,6.0,3.0
20160407,OB,B,27,159,2,41,15,12,2,1,0,0.0,4,0,8,0.8888888888888888,0.40540540540540543,4.0,2.0
20160407,NC,T,27,156,4,36,10,9,1,0,0,0.0,9,1,2,0.2222222222222222,0.37037037037037035,9.0,4.0
20160407,LT,B,27,156,6,36,12,8,1,0,3,0.6666666666666666,5,1,8,0.8888888888888888,0.3,5.0,4.0
20160407,SK,T,27,143,2,31,5,3,1,0,1,0.0,8,1,3,0.3333333333333333,0.17391304347826086,8.0,1.0
20160407,KT,B,27,187,5,35,9,6,2,0,1,1.0,4,0,3,0.3333333333333333,0.26666666666666666,4.0,4.0
20160407,SS,T,27,139,4,30,4,3,1,0,0,0.0,9,1,1,0.1111111111111111,0.19047619047619047,9.0,4.0
20160407,HH,B,27,141,4,33,7,3,1,1,2,1.0,4,1,7,0.7777777777777778,0.18518518518518517,4.0,4.0
20160407,WO,T,27,156,1,39,12,8,2,0,2,0.0,10,0,3,0.3333333333333333,0.37037037037037035,10.0,1.0
20160408,NC,B,27,150,8,31,5,2,2,0,1,0.0,9,1,4,0.4444444444444444,0.19047619047619047,9.0,8.0
20160408,HH,T,24,167,8,30,9,6,2,0,1,0.75,6,3,5,0.625,0.34782608695652173,6.75,7.875000000000001
20160408,KT,B,27,143,4,28,3,3,0,0,0,1.0,7,0,0,0.0,0.14285714285714285,7.0,4.0
20160408,HT,T,24,119,2,31,8,6,2,0,0,1.0,3,0,2,0.25,0.2857142857142857,3.375,1.125
20160408,SK,B,30,121,3,33,4,3,0,0,1,0.0,4,0,2,0.2,0.10714285714285714,3.6,2.7
20160408,LG,T,29,142,5,36,8,8,0,0,0,0.0,4,1,1,0.10344827586206898,0.24242424242424243,3.7241379310344827,3.7241379310344827
20160408,LT,B,27,168,7,35,10,6,1,0,3,0.0,8,0,3,0.3333333333333333,0.2916666666666667,8.0,6.0
20160408,SS,T,27,147,2,34,10,7,2,0,1,1.0,9,0,3,0.3333333333333333,0.375,9.0,2.0
20160408,OB,B,27,164,4,32,9,6,2,0,1,0.5,12,3,4,0.4444444444444444,0.42105263157894735,12.0,4.0
20160408,WO,T,24,176,11,29,8,5,2,0,1,0.5,7,0,6,0.75,0.3181818181818182,7.875000000000001,10.125
20160409,NC,B,27,104,3,29,7,7,0,0,0,0.0,8,0,1,0.1111111111111111,0.3333333333333333,8.0,2.0
20160409,HH,T,24,160,5,36,13,9,2,0,2,0.0,4,0,10,1.25,0.3548387096774194,4.5,4.5
20160409,KT,B,27,171,5,36,9,7,2,0,0,1.0,9,0,4,0.4444444444444444,0.32142857142857145,9.0,4.0
20160409,HT,T,27,148,3,35,11,9,2,0,0,1.0,7,0,3,0.3333333333333333,0.39285714285714285,7.0,2.0
20160409,SK,B,27,154,6,32,8,5,2,0,1,0.0,5,0,3,0.3333333333333333,0.2692307692307692,5.0,6.0
20160409,LG,T,24,120,5,27,5,2,0,0,3,0.0,7,0,4,0.5,0.11764705882352941,7.875000000000001,5.625
20160409,LT,B,27,189,6,36,11,10,0,0,1,0.3333333333333333,9,0,3,0.3333333333333333,0.38461538461538464,9.0,6.0
20160409,SS,T,24,188,4,37,15,13,1,0,1,1.0,6,0,7,0.875,0.4666666666666667,6.75,4.5
20160409,OB,B,36,220,8,49,16,14,1,1,0,0.6666666666666666,9,2,9,0.75,0.4,6.75,5.25
20160409,WO,T,36,197,3,46,13,10,1,0,2,0.0,11,1,9,0.75,0.3333333333333333,8.25,2.25
20160410,NC,B,27,144,9,29,6,5,1,0,0,0.0,12,1,2,0.2222222222222222,0.35294117647058826,12.0,5.0
20160410,HH,T,27,141,5,29,2,2,0,0,0,1.0,9,0,0,0.0,0.1,9.0,4.0
20160410,KT,B,27,141,5,38,14,8,3,2,1,0.0,6,0,6,0.6666666666666666,0.41935483870967744,6.0,5.0
20160410,HT,T,24,155,7,37,11,6,3,0,2,1.0,10,0,6,0.75,0.36,11.25,7.875000000000001
20160410,SK,B,27,142,1,37,10,8,0,0,2,0.5,6,1,6,0.6666666666666666,0.27586206896551724,6.0,1.0
20160410,LG,T,24,135,4,33,9,6,1,0,2,0.0,5,1,5,0.625,0.2692307692307692,5.625,4.5
20160410,LT,B,27,207,9,31,6,5,1,0,0,1.0,9,1,1,0.1111111111111111,0.2727272727272727,9.0,8.0
20160410,SS,T,24,149,4,33,11,7,3,0,1,0.5,6,1,4,0.5,0.38461538461538464,6.75,4.5
20160410,OB,B,27,153,9,32,8,5,2,1,0,0.0,10,0,5,0.5555555555555556,0.3333333333333333,10.0,6.0
20160410,WO,T,27,142,4,35,10,8,2,0,0,0.0,4,0,4,0.4444444444444444,0.3225806451612903,4.0,3.0
20160412,SK,B,27,181,7,37,10,5,1,0,4,0.0,9,0,7,0.7777777777777778,0.25,9.0,7.0
20160412,HT,T,27,160,7,33,7,5,0,0,2,0.75,11,0,4,0.4444444444444444,0.23809523809523808,11.0,6.0
20160412,WO,B,27,128,2,33,7,5,0,0,2,0.5,6,0,2,0.2222222222222222,0.2,6.0,2.0
20160412,KT,T,24,148,2,33,11,7,3,0,1,0.0,5,0,4,0.5,0.37037037037037035,5.625,2.25
20160412,LG,B,30,201,2,44,16,11,3,1,1,0.0,10,1,11,1.1,0.45454545454545453,9.0,1.8
20160412,LT,T,29,220,14,41,17,13,3,1,0,0.5,10,1,12,1.2413793103448276,0.5151515151515151,9.310344827586208,10.241379310344827
20160412,SS,B,27,155,2,37,10,6,1,0,3,0.0,4,0,4,0.4444444444444444,0.22580645161290322,4.0,1.0
20160412,NC,T,24,164,5,42,18,11,4,1,2,0.0,8,1,13,1.625,0.48484848484848486,9.0,4.5
20160412,HH,B,27,189,12,33,9,3,4,0,2,0.0,7,1,8,0.8888888888888888,0.28,7.0,10.0
20160412,OB,T,27,153,3,34,9,7,2,0,0,0.0,7,1,1,0.1111111111111111,0.3333333333333333,7.0,3.0
20160413,SK,B,27,144,3,30,6,5,1,0,0,0.0,10,0,0,0.0,0.3,10.0,3.0
20160413,HT,T,24,133,5,29,7,6,0,0,1,1.0,8,0,2,0.25,0.3,9.0,4.5
20160413,WO,B,33,190,6,42,13,10,2,0,1,0.6666666666666666,11,0,7,0.6363636363636364,0.4,9.0,4.090909090909091
20160413,KT,T,33,204,5,45,13,9,2,1,1,0.8,10,2,6,0.5454545454545454,0.35294117647058826,8.181818181818182,4.090909090909091
20160413,LG,B,27,146,5,31,8,7,0,0,1,0.0,8,0,3,0.3333333333333333,0.3181818181818182,8.0,4.0
20160413,LT,T,24,180,6,32,9,6,2,0,1,1.0,11,1,5,0.625,0.4,12.375,6.75
20160413,SS,B,27,151,7,32,10,8,2,0,0,0.5,5,0,7,0.7777777777777778,0.35714285714285715,5.0,5.0
20160413,NC,T,27,115,3,30,5,2,3,0,0,1.0,6,0,2,0.2222222222222222,0.20833333333333334,6.0,2.0
20160413,HH,B,27,180,6,40,15,13,1,0,1,0.0,6,0,5,0.5555555555555556,0.4117647058823529,6.0,5.0
20160413,OB,T,27,164,3,40,15,8,5,2,0,1.0,12,0,3,0.3333333333333333,0.5357142857142857,12.0,3.0
20160414,SK,B,27,169,7,35,10,7,2,0,1,0.0,11,1,6,0.6666666666666666,0.391304347826087,11.0,6.0
20160414,HT,T,25,156,4,37,14,12,2,0,0,0.5,8,0,7,0.84,0.4827586206896552,8.64,4.32
20160414,WO,B,27,163,4,36,10,6,2,0,2,0.5,7,0,4,0.4444444444444444,0.2962962962962963,7.0,3.0
20160414,KT,T,27,157,5,30,7,4,0,1,2,1.0,9,0,3,0.3333333333333333,0.2631578947368421,9.0,5.0
20160414,LG,B,27,171,5,41,15,11,2,1,1,0.0,8,1,8,0.8888888888888888,0.42424242424242425,8.0,4.0
20160414,LT,T,27,117,0,35,8,7,1,0,0,0.0,10,0,0,0.0,0.32,10.0,0.0
20160414,SS,B,27,148,5,34,8,4,2,0,2,1.0,16,0,5,0.5555555555555556,0.375,16.0,5.0
20160414,NC,T,24,146,4,33,11,11,0,0,0,1.0,4,1,5,0.625,0.36666666666666664,4.5,3.375
20160414,HH,B,27,185,7,41,14,8,2,0,4,0.0,7,2,15,1.6666666666666667,0.3333333333333333,7.0,7.0
20160414,OB,T,27,120,1,31,5,5,0,0,0,0.0,10,1,2,0.2222222222222222,0.23809523809523808,10.0,1.0
20160415,HH,B,27,219,11,44,19,14,1,0,4,1.0,7,1,15,1.6666666666666667,0.45454545454545453,7.0,10.0
20160415,LG,T,27,137,2,33,9,9,0,0,0,0.0,4,4,2,0.2222222222222222,0.3103448275862069,4.0,2.0
20160415,NC,B,27,151,2,31,4,4,0,0,0,0.0,13,0,0,0.0,0.2222222222222222,13.0,2.0
20160415,LT,T,24,157,4,32,9,6,3,0,0,1.0,10,0,3,0.375,0.4090909090909091,11.25,4.5
20160415,KT,B,27,157,10,31,9,7,0,0,2,0.5,9,1,7,0.7777777777777778,0.35,9.0,7.0
20160415,SK,T,27,137,3,33,7,6,1,0,0,0.0,8,0,3,0.3333333333333333,0.28,8.0,3.0
20160415,OB,B,27,132,2,35,6,6,0,0,0,0.0,5,0,0,0.0,0.2,5.0,2.0
20160415,SS,T,24,161,7,34,11,9,2,0,0,0.0,5,1,5,0.625,0.36666666666666664,5.625,6.75
20160415,HT,B,27,164,7,34,10,9,1,0,0,0.3333333333333333,6,0,6,0.6666666666666666,0.3448275862068966,6.0,6.0
20160415,WO,T,24,168,8,36,13,8,3,1,1,1.0,4,0,9,1.125,0.3870967741935484,4.5,7.875000000000001
20160417,HH,B,27,173,7,33,10,6,2,0,2,0.3333333333333333,11,1,6,0.6666666666666666,0.4,11.0,6.0
20160417,LG,T,27,178,9,34,7,7,0,0,0,1.0,11,0,4,0.4444444444444444,0.30434782608695654,11.0,9.0
20160417,NC,B,27,177,6,37,12,7,3,0,2,1.0,7,0,4,0.4444444444444444,0.3448275862068966,7.0,5.0
20160417,LT,T,27,166,4,37,13,11,1,0,1,0.0,5,0,5,0.5555555555555556,0.3870967741935484,5.0,4.0
20160417,KT,B,33,173,9,42,11,9,1,0,1,0.0,7,1,10,0.9090909090909091,0.29411764705882354,5.7272727272727275,5.7272727272727275
20160417,SK,T,33,168,10,37,9,8,1,0,0,1.0,8,2,3,0.2727272727272727,0.28125,6.545454545454546,4.909090909090909
20160417,OB,B,27,132,6,28,3,3,0,0,0,1.0,5,2,0,0.0,0.12,5.0,4.0
20160417,SS,T,24,138,5,33,12,11,0,1,0,1.0,7,1,5,0.625,0.4444444444444444,7.875000000000001,3.375
20160417,HT,B,27,102,1,32,9,8,0,1,0,0.0,3,0,2,0.2222222222222222,0.3103448275862069,3.0,1.0
20160417,WO,T,27,110,1,34,11,9,1,0,1,0.0,5,0,1,0.1111111111111111,0.35714285714285715,5.0,0.0
20160419,LT,B,30,186,6,38,8,7,0,0,1,0.0,11,0,3,0.3,0.2692307692307692,9.899999999999999,5.4
20160419,HH,T,29,168,13,29,5,1,3,1,0,0.0,8,0,3,0.3103448275862069,0.22727272727272727,7.448275862068965,8.379310344827587
20160419,LG,B,27,160,7,36,12,8,3,0,1,0.0,6,0,6,0.6666666666666666,0.36666666666666664,6.0,6.0
20160419,NC,T,27,115,4,27,1,1,0,0,0,0.0,8,0,1,0.1111111111111111,0.05,8.0,2.0
20160419,KT,B,27,154,3,32,7,5,2,0,0,0.0,7,0,2,0.2222222222222222,0.28,7.0,3.0
20160419,OB,T,27,133,6,33,10,7,2,0,1,0.0,4,0,2,0.2222222222222222,0.32142857142857145,4.0,5.0
20160419,HT,B,27,167,3,36,10,9,0,0,1,0.0,7,0,2,0.2222222222222222,0.32142857142857145,7.0,3.0
20160419,SS,T,24,148,3,34,11,6,3,0,2,0.0,5,0,7,0.875,0.3333333333333333,5.625,3.375
20160419,SK,B,27,143,4,34,10,5,4,0,1,0.0,8,0,3,0.3333333333333333,0.36,8.0,4.0
20160419,WO,T,27,144,2,34,7,5,1,0,1,1.0,9,0,1,0.1111111111111111,0.25,9.0,2.0
20160420,LT,B,27,138,2,36,10,8,1,0,1,0.0,3,0,4,0.4444444444444444,0.28125,3.0,2.0
20160420,HH,T,24,193,10,38,17,13,2,1,1,1.0,6,0,8,1.0,0.48484848484848486,6.75,9.0
20160420,LG,B,27,127,3,33,11,8,3,0,0,0.0,6,0,3,0.3333333333333333,0.39285714285714285,6.0,2.0
20160420,NC,T,24,122,3,31,6,4,0,0,2,0.0,5,0,6,0.75,0.16666666666666666,5.625,3.375
20160420,KT,B,27,193,7,40,16,11,3,0,2,0.0,10,0,12,1.3333333333333333,0.4827586206896552,10.0,5.0
20160420,OB,T,27,143,5,35,8,5,1,0,2,1.0,13,1,4,0.4444444444444444,0.3,13.0,5.0
20160420,HT,B,30,141,7,34,9,9,0,0,0,0.0,5,0,1,0.1,0.3103448275862069,4.5,4.5
20160420,SS,T,30,147,4,34,7,7,0,0,0,0.6666666666666666,6,0,1,0.1,0.25,5.4,3.6
20160420,SK,B,27,136,2,33,8,7,0,0,1,0.0,9,0,1,0.1111111111111111,0.30434782608695654,9.0,2.0
20160420,WO,T,24,141,2,36,13,7,5,0,1,0.0,2,0,6,0.75,0.36363636363636365,2.25,2.25
20160421,LT,B,27,195,13,33,13,10,3,0,0,0.5,10,1,7,0.7777777777777778,0.5416666666666666,10.0,8.0
20160421,HH,T,27,157,5,33,9,9,0,0,0,0.75,9,0,5,0.5555555555555556,0.36,9.0,4.0
20160421,LG,B,27,158,8,38,14,9,5,0,0,0.0,6,0,8,0.8888888888888888,0.4375,6.0,6.0
20160421,NC,T,27,170,6,39,12,8,1,0,3,0.0,11,0,5,0.5555555555555556,0.36,11.0,6.0
20160421,KT,B,27,142,4,34,9,5,3,0,1,0.0,7,0,3,0.3333333333333333,0.3076923076923077,7.0,4.0
20160421,OB,T,24,168,6,35,14,9,3,0,2,1.0,3,1,8,1.0,0.4,3.375,5.625
20160421,HT,B,27,160,4,41,15,11,3,0,1,0.0,7,0,7,0.7777777777777778,0.42424242424242425,7.0,4.0
20160421,SS,T,27,142,2,34,7,2,5,0,0,0.0,8,0,1,0.1111111111111111,0.2692307692307692,8.0,2.0
20160421,SK,B,27,150,4,33,6,3,2,0,1,0.5,11,0,2,0.2222222222222222,0.23809523809523808,11.0,4.0
20160421,WO,T,24,123,4,27,6,5,0,0,1,0.4,5,0,2,0.25,0.23809523809523808,5.625,4.5
20160422,OB,B,27,144,5,33,7,5,1,0,1,0.0,6,1,2,0.2222222222222222,0.23076923076923078,6.0,4.0
20160422,HH,T,24,123,4,34,13,9,3,0,1,1.0,4,1,8,1.0,0.41379310344827586,4.5,3.375
20160422,LT,B,27,157,3,36,10,7,1,0,2,0.0,10,0,5,0.5555555555555556,0.3333333333333333,10.0,3.0
20160422,HT,T,24,128,4,33,13,10,3,0,0,1.0,3,2,6,0.75,0.41935483870967744,3.375,2.25
20160422,SS,B,27,204,7,41,16,11,2,1,2,0.0,5,0,13,1.4444444444444444,0.4,5.0,6.0
20160422,KT,T,27,115,2,34,9,7,1,0,1,0.0,2,1,3,0.3333333333333333,0.25806451612903225,2.0,1.0
20160422,WO,B,27,116,2,31,5,4,0,0,1,0.0,6,0,2,0.2222222222222222,0.16666666666666666,6.0,2.0
20160422,LG,T,24,144,7,35,14,8,2,2,2,0.0,6,3,9,1.125,0.42857142857142855,6.75,5.625
20160422,SK,B,33,194,15,36,8,5,2,0,1,0.0,8,0,5,0.45454545454545453,0.25,6.545454545454546,8.181818181818182
20160422,NC,T,33,154,4,39,9,6,2,0,1,0.0,8,1,5,0.45454545454545453,0.26666666666666666,6.545454545454546,2.4545454545454546
20160423,OB,B,27,141,1,33,6,5,0,0,1,0.0,9,0,2,0.2222222222222222,0.21739130434782608,9.0,1.0
20160423,HH,T,24,137,5,29,7,4,2,0,1,0.6666666666666666,5,0,3,0.375,0.2608695652173913,5.625,5.625
20160423,LT,B,27,187,3,48,21,15,3,0,3,0.0,7,1,11,1.2222222222222223,0.47368421052631576,7.0,3.0
20160423,HT,T,27,188,10,40,14,10,2,0,2,0.6666666666666666,7,0,10,1.1111111111111112,0.3870967741935484,7.0,10.0
20160423,SS,B,27,147,4,38,12,9,2,0,1,1.0,5,1,11,1.2222222222222223,0.34375,5.0,4.0
20160423,KT,T,27,171,10,32,7,6,0,1,0,0.0,3,2,6,0.6666666666666666,0.23333333333333334,3.0,9.0
20160423,WO,B,27,157,3,36,8,5,3,0,0,0.0,8,0,1,0.1111111111111111,0.27586206896551724,8.0,2.0
20160423,LG,T,24,191,9,40,18,13,3,0,2,0.0,11,0,14,1.75,0.5517241379310345,12.375,7.875000000000001
20160423,SK,B,27,130,1,31,6,5,0,0,1,0.0,7,0,2,0.2222222222222222,0.21739130434782608,7.0,1.0
20160423,NC,T,24,182,6,37,13,12,1,0,0,0.0,7,3,6,0.75,0.41935483870967744,7.875000000000001,5.625
20160424,OB,B,27,134,4,31,4,2,1,0,1,0.0,9,0,1,0.1111111111111111,0.14285714285714285,9.0,4.0
20160424,HH,T,24,154,10,28,5,4,1,0,0,0.0,6,0,0,0.0,0.22727272727272727,6.75,10.125
20160424,LT,B,27,161,6,42,15,8,3,2,2,1.0,5,0,10,1.1111111111111112,0.3611111111111111,5.0,5.0
20160424,HT,T,27,150,2,36,8,5,0,0,3,0.0,10,1,4,0.4444444444444444,0.21739130434782608,10.0,2.0
20160424,SS,B,27,114,2,30,6,5,1,0,0,0.0,6,0,0,0.0,0.25,6.0,2.0
20160424,KT,T,24,126,4,33,10,5,4,0,1,0.0,3,0,6,0.75,0.3103448275862069,3.375,2.25
20160424,WO,B,27,142,3,34,10,8,1,0,1,0.3333333333333333,8,0,5,0.5555555555555556,0.34615384615384615,8.0,2.0
20160424,LG,T,27,142,3,36,11,8,3,0,0,1.0,6,0,3,0.3333333333333333,0.36666666666666664,6.0,1.0
20160424,SK,B,27,123,3,30,5,3,0,0,2,0.0,6,1,2,0.2222222222222222,0.13636363636363635,6.0,2.0
20160424,NC,T,24,116,2,31,9,6,2,0,1,1.0,7,0,3,0.375,0.34782608695652173,7.875000000000001,0.0
20160426,HH,B,27,165,6,31,7,6,1,0,0,0.5,11,0,2,0.2222222222222222,0.35,11.0,5.0
20160426,HT,T,24,151,9,27,6,4,1,0,1,0.0,5,0,3,0.375,0.23809523809523808,5.625,7.875000000000001
20160426,SS,B,27,137,5,32,7,7,0,0,0,0.6666666666666666,8,1,2,0.2222222222222222,0.2916666666666667,8.0,4.0
20160426,LG,T,27,94,1,28,2,2,0,0,0,0.0,7,0,0,0.0,0.09523809523809523,7.0,1.0
20160426,KT,B,27,139,5,30,5,3,1,1,0,1.0,8,0,1,0.1111111111111111,0.22727272727272727,8.0,3.0
20160426,LT,T,24,119,2,28,7,6,0,0,1,0.0,4,0,2,0.25,0.2608695652173913,4.5,1.125
20160426,OB,B,27,155,4,38,13,10,2,1,0,0.0,6,2,3,0.3333333333333333,0.40625,6.0,3.0
20160426,SK,T,24,119,5,29,7,4,2,0,1,1.0,6,0,3,0.375,0.2727272727272727,6.75,5.625
20160426,NC,B,27,167,5,34,9,8,1,0,0,0.0,10,0,3,0.3333333333333333,0.375,10.0,5.0
20160426,WO,T,24,145,3,32,11,7,4,0,0,0.0,3,0,4,0.5,0.3793103448275862,3.375,3.375
20160427,KT,B,27,177,4,36,10,7,3,0,0,0.0,6,0,4,0.4444444444444444,0.3333333333333333,6.0,4.0
20160427,LT,T,27,133,3,29,3,3,0,0,0,0.0,6,0,0,0.0,0.13043478260869565,6.0,3.0
20160427,OB,B,27,134,2,32,6,2,3,0,1,1.0,8,0,3,0.3333333333333333,0.20833333333333334,8.0,1.0
20160427,SK,T,27,148,3,35,9,9,0,0,0,0.0,5,0,1,0.1111111111111111,0.3,5.0,3.0
20160428,HH,B,33,176,5,40,7,6,0,0,1,0.0,13,0,2,0.18181818181818182,0.23076923076923078,10.636363636363637,4.090909090909091
20160428,HT,T,32,170,8,38,9,7,2,0,0,1.0,7,0,3,0.28125,0.28125,5.90625,4.21875
20160428,SS,B,27,173,5,36,11,7,1,0,3,0.0,11,0,7,0.7777777777777778,0.36363636363636365,11.0,5.0
20160428,LG,T,24,173,10,31,7,5,1,0,1,1.0,9,1,7,0.875,0.2857142857142857,10.125,10.125
20160428,KT,B,27,198,5,36,12,8,0,0,4,0.5,5,0,7,0.7777777777777778,0.2962962962962963,5.0,5.0
20160428,LT,T,27,132,2,31,8,6,1,0,1,0.0,7,0,3,0.3333333333333333,0.30434782608695654,7.0,2.0
20160428,OB,B,27,145,6,31,8,8,0,0,0,0.6666666666666666,6,0,1,0.1111111111111111,0.32,6.0,5.0
20160428,SK,T,25,127,5,30,9,6,2,0,1,1.0,1,0,4,0.48,0.2857142857142857,1.08,3.2399999999999998
20160428,NC,B,27,157,1,37,9,4,3,1,1,1.0,7,0,2,0.2222222222222222,0.27586206896551724,7.0,1.0
20160428,WO,T,27,179,2,34,8,8,0,0,0,0.5,11,0,1,0.1111111111111111,0.34782608695652173,11.0,2.0
20160429,LG,B,27,157,8,28,7,7,0,0,0,0.5,5,1,3,0.3333333333333333,0.2916666666666667,5.0,6.0
20160429,KT,T,25,167,7,35,10,9,0,0,1,0.0,8,1,4,0.48,0.34615384615384615,8.64,6.4799999999999995
20160429,LT,B,27,168,10,33,9,5,2,0,2,0.0,8,1,6,0.6666666666666666,0.30434782608695654,8.0,9.0
20160429,NC,T,27,139,5,30,7,4,2,0,1,0.5,7,0,3,0.3333333333333333,0.2727272727272727,7.0,5.0
20160429,HT,B,27,159,10,30,5,5,0,0,0,0.0,5,0,1,0.1111111111111111,0.19230769230769232,5.0,8.0
20160429,OB,T,24,135,7,30,7,6,1,0,0,0.0,9,0,1,0.125,0.30434782608695654,10.125,5.625
20160429,WO,B,27,117,4,33,10,8,2,0,0,0.0,5,0,4,0.4444444444444444,0.3333333333333333,5.0,1.0
20160429,SK,T,27,132,2,34,7,5,2,0,0,1.0,7,1,2,0.2222222222222222,0.25925925925925924,7.0,2.0
20160429,HH,B,27,141,5,33,9,6,1,0,2,0.5,8,0,5,0.5555555555555556,0.30434782608695654,8.0,5.0
