GDAY_DS,T_ID,TB_SC,PA-AB,AB,RUN,HIT,RBI,SH+SF,KK,AVG,SB_trial,BABIP
20160407,WO,T,4,33,7,7,7,0,4,0.21212121212121213,1,0.18518518518518517
20160408,NC,B,8,30,5,9,4,1,6,0.3,4,0.34782608695652173
20160408,HH,T,8,31,4,5,4,0,9,0.16129032258064516,0,0.19047619047619047
20160408,KT,B,2,31,4,8,3,1,3,0.25806451612903225,1,0.2857142857142857
20160408,HT,T,4,28,0,3,0,0,7,0.10714285714285714,1,0.14285714285714285
20160408,SK,B,5,36,3,8,1,1,4,0.2222222222222222,0,0.24242424242424243
20160408,LG,T,3,33,2,4,2,0,4,0.12121212121212122,0,0.10714285714285714
20160408,LT,B,2,34,3,10,3,0,9,0.29411764705882354,1,0.375
20160408,SS,T,7,35,7,10,7,1,8,0.2857142857142857,0,0.2916666666666667
20160408,OB,B,11,29,6,8,6,2,7,0.27586206896551724,4,0.3181818181818182
20160408,WO,T,4,32,4,9,4,0,12,0.28125,4,0.42105263157894735
20160409,NC,B,5,36,10,13,10,1,4,0.3611111111111111,0,0.3548387096774194
20160409,HH,T,3,29,1,7,1,1,8,0.2413793103448276,1,0.3333333333333333
20160409,KT,B,3,35,3,11,3,1,7,0.3142857142857143,2,0.39285714285714285
20160409,HT,T,5,36,6,9,5,1,9,0.25,3,0.32142857142857145
20160409,SK,B,5,27,4,5,4,0,7,0.18518518518518517,1,0.11764705882352941
20160409,LG,T,6,32,3,8,3,0,5,0.25,0,0.2692307692307692
20160409,LT,B,4,37,7,15,7,0,6,0.40540540540540543,1,0.4666666666666667
20160409,SS,T,6,36,4,11,4,0,9,0.3055555555555556,3,0.38461538461538464
20160409,OB,B,3,46,9,13,8,0,11,0.2826086956521739,1,0.3333333333333333
20160409,WO,T,8,49,9,16,8,1,9,0.32653061224489793,3,0.4
20160410,NC,B,5,29,1,2,1,1,9,0.06896551724137931,2,0.1
20160410,HH,T,9,29,2,6,2,4,12,0.20689655172413793,0,0.35294117647058826
20160410,KT,B,7,37,9,11,9,0,10,0.2972972972972973,1,0.36
20160410,HT,T,5,38,6,14,6,0,6,0.3684210526315789,1,0.41935483870967744
20160410,SK,B,4,33,7,9,7,0,5,0.2727272727272727,0,0.2692307692307692
20160410,LG,T,1,37,6,10,5,0,6,0.2702702702702703,2,0.27586206896551724
20160410,LT,B,4,33,5,11,4,0,6,0.3333333333333333,4,0.38461538461538464
20160410,SS,T,9,31,1,6,1,1,9,0.1935483870967742,1,0.2727272727272727
20160410,OB,B,4,35,4,10,4,1,4,0.2857142857142857,0,0.3225806451612903
20160410,WO,T,9,32,5,8,5,3,10,0.25,0,0.3333333333333333
20160412,SK,B,7,33,6,7,6,1,11,0.21212121212121213,4,0.23809523809523808
20160412,HT,T,7,37,7,10,7,0,9,0.2702702702702703,0,0.25
20160412,WO,B,2,33,5,11,4,0,5,0.3333333333333333,0,0.37037037037037035
20160412,KT,T,2,33,2,7,2,0,6,0.21212121212121213,2,0.2
20160412,LG,B,14,41,12,17,12,3,10,0.4146341463414634,2,0.5151515151515151
20160412,LT,T,2,44,11,16,10,0,10,0.36363636363636365,1,0.45454545454545453
20160412,SS,B,5,42,16,18,13,1,8,0.42857142857142855,0,0.48484848484848486
20160412,NC,T,2,37,5,10,5,1,4,0.2702702702702703,0,0.22580645161290322
20160412,HH,B,3,34,2,9,1,0,7,0.2647058823529412,0,0.3333333333333333
20160412,OB,T,12,33,8,9,7,2,7,0.2727272727272727,0,0.28
20160413,SK,B,5,29,2,7,2,1,8,0.2413793103448276,2,0.3
20160413,HT,T,3,30,0,6,0,0,10,0.2,1,0.3
20160413,WO,B,5,45,6,13,6,0,10,0.28888888888888886,5,0.35294117647058826
20160413,KT,T,6,42,7,13,7,1,11,0.30952380952380953,3,0.4
20160413,LG,B,6,32,5,9,5,0,11,0.28125,1,0.4
20160413,LT,T,5,31,3,8,3,1,8,0.25806451612903225,0,0.3181818181818182
20160413,SS,B,3,30,2,5,2,1,6,0.16666666666666666,1,0.20833333333333334
20160413,NC,T,7,32,7,10,7,2,5,0.3125,2,0.35714285714285715
20160413,HH,B,3,40,3,15,3,0,12,0.375,1,0.5357142857142857
20160413,OB,T,6,40,7,15,6,1,6,0.375,1,0.4117647058823529
20160414,SK,B,4,37,7,14,7,0,8,0.3783783783783784,2,0.4827586206896552
20160414,HT,T,7,35,6,10,6,1,11,0.2857142857142857,0,0.391304347826087
20160414,WO,B,5,30,4,7,3,0,9,0.23333333333333334,1,0.2631578947368421
20160414,KT,T,4,36,5,10,5,1,7,0.2777777777777778,2,0.2962962962962963
20160414,LG,B,0,35,0,8,0,0,10,0.22857142857142856,0,0.32
20160414,LT,T,5,41,9,15,9,1,8,0.36585365853658536,0,0.42424242424242425
20160414,SS,B,4,33,7,11,5,1,4,0.3333333333333333,3,0.36666666666666664
20160414,NC,T,5,34,5,8,5,0,16,0.23529411764705882,2,0.375
20160414,HH,B,1,31,2,5,1,0,10,0.16129032258064516,0,0.23809523809523808
20160414,OB,T,7,41,17,14,15,0,7,0.34146341463414637,0,0.3333333333333333
20160415,HH,B,2,33,2,9,1,0,4,0.2727272727272727,0,0.3103448275862069
20160415,LG,T,11,44,18,19,16,1,7,0.4318181818181818,2,0.45454545454545453
20160415,NC,B,4,32,3,9,3,0,10,0.28125,2,0.4090909090909091
20160415,LT,T,2,31,0,4,0,0,13,0.12903225806451613,1,0.2222222222222222
20160415,KT,B,3,33,3,7,3,0,8,0.21212121212121213,0,0.28
20160415,SK,T,10,31,7,9,7,3,9,0.2903225806451613,2,0.35
20160415,OB,B,7,34,7,11,6,1,5,0.3235294117647059,0,0.36666666666666664
20160415,SS,T,2,35,2,6,2,0,5,0.17142857142857143,0,0.2
20160415,HT,B,8,36,11,13,10,1,4,0.3611111111111111,3,0.3870967741935484
20160415,WO,T,7,34,6,10,5,1,6,0.29411764705882354,3,0.3448275862068966
20160417,HH,B,9,34,4,7,4,0,11,0.20588235294117646,1,0.30434782608695654
20160417,LG,T,7,33,6,10,6,1,11,0.30303030303030304,3,0.4
20160417,NC,B,4,37,5,13,5,0,5,0.35135135135135137,1,0.3870967741935484
20160417,LT,T,6,37,8,12,8,1,7,0.32432432432432434,1,0.3448275862068966
20160417,KT,B,10,37,6,9,5,4,8,0.24324324324324326,1,0.28125
20160417,SK,T,9,42,10,11,9,2,7,0.2619047619047619,0,0.29411764705882354
20160417,OB,B,5,33,6,12,6,2,7,0.36363636363636365,2,0.4444444444444444
20160417,SS,T,6,28,2,3,2,2,5,0.10714285714285714,1,0.12
20160417,HT,B,1,34,1,11,1,1,5,0.3235294117647059,1,0.35714285714285715
20160417,WO,T,1,32,2,9,2,0,3,0.28125,2,0.3103448275862069
20160419,LT,B,13,29,4,5,3,4,8,0.1724137931034483,1,0.22727272727272727
20160419,HH,T,6,38,3,8,3,0,11,0.21052631578947367,0,0.2692307692307692
20160419,LG,B,4,27,1,1,1,2,8,0.037037037037037035,0,0.05
20160419,NC,T,7,36,8,12,7,1,6,0.3333333333333333,1,0.36666666666666664
20160419,KT,B,6,33,2,10,2,1,4,0.30303030303030304,0,0.32142857142857145
20160419,OB,T,3,32,3,7,3,0,7,0.21875,1,0.28
20160419,HT,B,3,34,7,11,7,0,5,0.3235294117647059,0,0.3333333333333333
20160419,SS,T,3,36,2,10,2,0,7,0.2777777777777778,1,0.32142857142857145
20160419,SK,B,2,34,1,7,1,0,9,0.20588235294117646,1,0.25
20160419,WO,T,4,34,3,10,3,0,8,0.29411764705882354,1,0.36
20160420,LT,B,10,38,10,17,10,2,6,0.4473684210526316,5,0.48484848484848486
20160420,HH,T,2,36,4,10,4,0,3,0.2777777777777778,0,0.28125
20160420,LG,B,3,31,6,6,6,0,5,0.1935483870967742,0,0.16666666666666666
20160420,NC,T,3,33,3,11,3,1,6,0.3333333333333333,1,0.39285714285714285
20160420,KT,B,5,35,4,8,4,0,13,0.22857142857142856,4,0.3
20160420,OB,T,7,40,13,16,12,2,10,0.4,0,0.4827586206896552
20160420,HT,B,4,34,1,7,1,0,6,0.20588235294117646,3,0.25
20160420,SS,T,7,34,2,9,1,2,5,0.2647058823529412,2,0.3103448275862069
20160420,SK,B,2,36,9,13,7,0,2,0.3611111111111111,0,0.36363636363636365
20160420,WO,T,2,33,1,8,1,0,9,0.24242424242424243,0,0.30434782608695654
20160421,LT,B,5,33,5,9,4,1,9,0.2727272727272727,4,0.36
20160421,HH,T,13,33,9,13,9,5,10,0.3939393939393939,4,0.5416666666666666
20160421,LG,B,6,39,5,12,5,0,11,0.3076923076923077,0,0.36
20160421,NC,T,8,38,8,14,7,2,6,0.3684210526315789,0,0.4375
20160421,KT,B,6,35,8,14,8,1,3,0.4,1,0.4
20160421,OB,T,4,34,3,9,3,0,7,0.2647058823529412,0,0.3076923076923077
20160421,HT,B,2,34,1,7,1,0,8,0.20588235294117646,0,0.2692307692307692
20160421,SS,T,4,41,8,15,8,0,7,0.36585365853658536,1,0.42424242424242425
20160421,SK,B,4,27,3,6,2,0,5,0.2222222222222222,5,0.23809523809523808
20160421,WO,T,4,33,2,6,2,0,11,0.18181818181818182,2,0.23809523809523808
20160422,OB,B,4,34,8,13,8,1,4,0.38235294117647056,1,0.41379310344827586
20160422,HH,T,5,33,2,7,2,1,6,0.21212121212121213,0,0.23076923076923078
20160422,LT,B,4,33,7,13,6,2,3,0.3939393939393939,1,0.41935483870967744
20160422,HT,T,3,36,5,10,5,0,10,0.2777777777777778,0,0.3333333333333333
20160422,SS,B,2,34,3,9,3,1,2,0.2647058823529412,0,0.25806451612903225
20160422,KT,T,7,41,13,16,13,1,5,0.3902439024390244,0,0.4
20160422,WO,B,7,35,10,14,9,2,6,0.4,0,0.42857142857142855
20160422,LG,T,2,31,2,5,2,0,6,0.16129032258064516,0,0.16666666666666666
20160422,SK,B,4,39,5,9,5,1,8,0.23076923076923078,0,0.26666666666666666
20160422,NC,T,15,36,6,8,5,4,8,0.2222222222222222,1,0.25
20160423,OB,B,5,29,3,7,3,0,5,0.2413793103448276,3,0.2608695652173913
20160423,HH,T,1,33,2,6,2,0,9,0.18181818181818182,0,0.21739130434782608
20160423,LT,B,10,40,10,14,10,0,7,0.35,3,0.3870967741935484
20160423,HT,T,3,48,16,21,16,0,7,0.4375,0,0.47368421052631576
20160423,SS,B,10,32,6,7,5,1,3,0.21875,0,0.23333333333333334
20160423,KT,T,4,38,11,12,10,0,5,0.3157894736842105,2,0.34375
20160423,WO,B,9,40,14,18,14,2,11,0.45,0,0.5517241379310345
20160423,LG,T,3,36,2,8,1,1,8,0.2222222222222222,0,0.27586206896551724
20160423,SK,B,6,37,8,13,7,1,7,0.35135135135135137,1,0.41935483870967744
20160423,NC,T,1,31,2,6,2,0,7,0.1935483870967742,1,0.21739130434782608
20160424,OB,B,10,28,5,5,3,1,6,0.17857142857142858,1,0.22727272727272727
20160424,HH,T,4,31,1,4,1,0,9,0.12903225806451613,0,0.14285714285714285
20160424,LT,B,2,36,4,8,4,0,10,0.2222222222222222,0,0.21739130434782608
20160424,HT,T,6,42,11,15,11,1,5,0.35714285714285715,3,0.3611111111111111
20160424,SS,B,4,33,6,10,6,2,3,0.30303030303030304,0,0.3103448275862069
20160424,KT,T,2,30,0,6,0,0,6,0.2,2,0.25
20160424,WO,B,3,36,3,11,3,2,6,0.3055555555555556,2,0.36666666666666664
20160424,LG,T,3,34,5,10,5,1,8,0.29411764705882354,3,0.34615384615384615
20160424,SK,B,2,31,3,9,3,2,7,0.2903225806451613,1,0.34782608695652173
20160424,NC,T,3,30,2,5,2,1,6,0.16666666666666666,0,0.13636363636363635
20160426,HH,B,9,27,4,6,3,2,5,0.2222222222222222,0,0.23809523809523808
20160426,HT,T,6,31,2,7,2,1,11,0.22580645161290322,2,0.35
20160426,SS,B,1,28,0,2,0,0,7,0.07142857142857142,0,0.09523809523809523
20160426,LG,T,5,32,2,7,2,1,8,0.21875,3,0.2916666666666667
20160426,KT,B,2,28,2,7,2,1,4,0.25,0,0.2608695652173913
20160426,LT,T,5,30,1,5,1,2,8,0.16666666666666666,1,0.22727272727272727
20160426,OB,B,5,29,4,7,3,0,6,0.2413793103448276,1,0.2727272727272727
20160426,SK,T,4,38,3,13,3,1,6,0.34210526315789475,0,0.40625
20160426,NC,B,3,32,4,11,3,0,3,0.34375,0,0.3793103448275862
20160426,WO,T,5,34,3,9,3,0,10,0.2647058823529412,0,0.375
20160427,KT,B,3,29,0,3,0,0,6,0.10344827586206896,1,0.13043478260869565
20160427,LT,T,4,36,4,10,4,0,6,0.2777777777777778,1,0.3333333333333333
20160427,OB,B,3,35,1,9,1,0,5,0.2571428571428571,0,0.3
20160427,SK,T,2,32,3,6,3,1,8,0.1875,1,0.20833333333333334
20160428,HH,B,8,38,3,9,3,3,7,0.23684210526315788,2,0.28125
20160428,HT,T,5,40,2,7,2,0,13,0.175,1,0.23076923076923078
20160428,SS,B,10,31,9,7,7,1,9,0.22580645161290322,2,0.2857142857142857
20160428,LG,T,5,36,7,11,7,0,11,0.3055555555555556,1,0.36363636363636365
20160428,KT,B,2,31,3,8,3,0,7,0.25806451612903225,0,0.30434782608695654
20160428,LT,T,5,36,8,12,8,0,5,0.3333333333333333,2,0.2962962962962963
20160428,OB,B,5,30,4,9,4,2,1,0.3,1,0.2857142857142857
20160428,SK,T,6,31,1,8,1,1,6,0.25806451612903225,3,0.32
20160428,NC,B,2,34,2,8,2,0,11,0.23529411764705882,2,0.34782608695652173
20160428,WO,T,1,37,4,9,4,0,7,0.24324324324324326,1,0.27586206896551724
20160429,LG,B,7,35,4,10,4,1,8,0.2857142857142857,0,0.34615384615384615
20160429,KT,T,8,28,3,7,3,2,5,0.25,2,0.2916666666666667
20160429,LT,B,5,30,3,7,3,0,7,0.23333333333333334,2,0.2727272727272727
20160429,NC,T,10,33,6,9,5,1,8,0.2727272727272727,1,0.30434782608695654
20160429,HT,B,7,30,4,7,4,2,9,0.23333333333333334,1,0.30434782608695654
20160429,OB,T,10,30,1,5,1,2,5,0.16666666666666666,0,0.19230769230769232
20160429,WO,B,2,34,3,7,2,0,7,0.20588235294117646,1,0.25925925925925924
20160429,SK,T,4,33,4,10,4,3,5,0.30303030303030304,0,0.3333333333333333
20160429,HH,B,3,38,10,15,10,0,6,0.39473684210526316,0,0.41379310344827586
20160429,SS,T,5,33,5,9,5,0,8,0.2727272727272727,2,0.30434782608695654
20160430,LG,B,8,28,2,5,1,2,7,0.17857142857142858,1,0.22727272727272727
20160430,KT,T,2,34,3,9,3,0,6,0.2647058823529412,0,0.32142857142857145
20160430,LT,B,2,32,1,5,1,0,12,0.15625,0,0.25
20160430,NC,T,4,38,8,11,8,0,9,0.2894736842105263,0,0.3333333333333333
20160430,HT,B,3,37,5,11,4,0,7,0.2972972972972973,0,0.3448275862068966
20160430,OB,T,10,32,7,10,6,2,6,0.3125,3,0.36
20160430,WO,B,4,30,1,5,1,0,7,0.16666666666666666,1,0.21739130434782608
20160430,SK,T,3,39,5,13,5,1,7,0.3333333333333333,1,0.3870967741935484
20160430,HH,B,5,31,3,7,2,1,7,0.22580645161290322,1,0.28
20160430,SS,T,8,33,6,10,5,3,3,0.30303030303030304,1,0.27586206896551724
20160501,LG,B,7,28,4,7,3,2,5,0.25,4,0.2608695652173913
20160501,KT,T,6,31,2,9,2,1,3,0.2903225806451613,0,0.32142857142857145
20160501,LT,B,4,32,2,5,2,1,6,0.15625,0,0.18518518518518517
20160501,NC,T,2,36,5,10,5,1,8,0.2777777777777778,0,0.2692307692307692
20160501,HT,B,4,32,1,7,1,0,3,0.21875,1,0.21428571428571427
20160501,OB,T,1,35,4,9,3,0,2,0.2571428571428571,1,0.25
20160501,WO,B,4,39,11,14,11,0,5,0.358974358974359,1,0.3939393939393939
20160501,SK,T,3,30,1,5,1,1,4,0.16666666666666666,0,0.19230769230769232
20160501,HH,B,9,28,9,8,9,3,8,0.2857142857142857,1,0.3333333333333333
20160501,SS,T,8,35,8,11,8,1,7,0.3142857142857143,3,0.3793103448275862
20160503,SK,B,4,33,2,8,2,1,9,0.24242424242424243,0,0.3333333333333333
20160503,HH,T,13,28,7,5,7,2,6,0.17857142857142858,2,0.19047619047619047
20160503,HT,B,7,29,3,7,3,3,6,0.2413793103448276,0,0.2727272727272727
20160503,LT,T,7,30,2,5,2,0,8,0.16666666666666666,1,0.19047619047619047
20160503,SS,B,2,29,0,8,0,0,3,0.27586206896551724,2,0.3076923076923077
20160503,WO,T,7,36,5,11,4,2,10,0.3055555555555556,1,0.4
20160504,SK,B,11,31,5,10,5,2,2,0.3225806451612903,1,0.32142857142857145
20160504,HH,T,7,32,1,7,1,0,6,0.21875,1,0.24
20160504,HT,B,5,30,3,7,3,0,11,0.23333333333333334,0,0.3333333333333333
20160504,LT,T,4,34,2,11,2,0,4,0.3235294117647059,1,0.3448275862068966
20160504,KT,B,6,35,6,9,5,1,9,0.2571428571428571,0,0.34615384615384615
20160504,NC,T,5,36,8,13,7,1,4,0.3611111111111111,0,0.3870967741935484
20160504,LG,B,5,31,1,4,1,0,5,0.12903225806451613,1,0.15384615384615385
20160504,OB,T,5,48,17,21,16,0,5,0.4375,0,0.4358974358974359
20160504,SS,B,3,34,3,10,3,1,5,0.29411764705882354,2,0.3333333333333333
20160504,WO,T,1,36,6,10,6,1,5,0.2777777777777778,2,0.2903225806451613
20160505,SK,B,6,48,19,21,17,1,5,0.4375,1,0.41025641025641024
20160505,HH,T,3,39,6,13,6,0,7,0.3333333333333333,1,0.3448275862068966
20160505,HT,B,14,38,17,18,17,2,5,0.47368421052631576,0,0.48484848484848486
20160505,LT,T,3,29,1,3,0,0,6,0.10344827586206896,1,0.13043478260869565
20160505,KT,B,5,32,2,7,2,0,8,0.21875,2,0.2916666666666667
20160505,NC,T,11,43,15,16,15,2,5,0.37209302325581395,1,0.3783783783783784
20160505,LG,B,5,36,8,10,6,2,10,0.2777777777777778,2,0.36
20160505,OB,T,5,45,7,19,7,1,4,0.4222222222222222,1,0.4523809523809524
20160505,SS,B,2,31,5,7,4,1,6,0.22580645161290322,1,0.2692307692307692
20160505,WO,T,3,30,2,4,2,0,5,0.13333333333333333,0,0.125
20160506,KT,B,6,35,10,15,10,0,6,0.42857142857142855,2,0.46153846153846156
20160506,HH,T,2,37,3,10,3,1,9,0.2702702702702703,0,0.3448275862068966
20160506,WO,B,6,44,15,20,15,0,7,0.45454545454545453,3,0.5
20160506,HT,T,4,35,6,13,5,2,5,0.37142857142857144,0,0.36666666666666664
20160506,NC,B,2,37,13,15,13,0,5,0.40540540540540543,0,0.43333333333333335
20160506,LG,T,4,29,2,5,2,1,5,0.1724137931034483,1,0.20833333333333334
20160506,OB,B,3,31,0,5,0,0,7,0.16129032258064516,0,0.20833333333333334
20160506,LT,T,8,37,7,12,6,1,9,0.32432432432432434,0,0.4074074074074074
20160506,SS,B,3,31,5,8,4,2,2,0.25806451612903225,1,0.25
20160506,SK,T,3,32,4,10,4,2,6,0.3125,1,0.36
20160507,KT,B,6,42,17,20,16,0,9,0.47619047619047616,2,0.6060606060606061
20160507,HH,T,7,37,10,12,9,0,6,0.32432432432432434,3,0.3448275862068966
20160507,WO,B,1,33,4,8,3,0,7,0.24242424242424243,3,0.3076923076923077
20160507,HT,T,5,31,3,6,3,2,5,0.1935483870967742,1,0.2
20160507,NC,B,3,32,4,8,4,0,12,0.25,1,0.29411764705882354
20160507,LG,T,6,31,1,6,1,0,8,0.1935483870967742,1,0.2608695652173913
20160507,OB,B,5,30,0,6,0,0,7,0.2,2,0.2608695652173913
20160507,LT,T,7,34,5,9,4,1,10,0.2647058823529412,1,0.34782608695652173
20160507,SS,B,1,36,3,8,3,0,4,0.2222222222222222,1,0.25
20160507,SK,T,11,31,6,7,5,2,7,0.22580645161290322,2,0.28
20160508,KT,B,6,33,7,13,7,1,4,0.3939393939393939,1,0.42857142857142855
20160508,HH,T,6,30,4,4,4,0,9,0.13333333333333333,0,0.15
20160508,WO,B,6,35,7,10,6,0,6,0.2857142857142857,2,0.2962962962962963
20160508,HT,T,4,37,6,11,5,1,9,0.2972972972972973,0,0.39285714285714285
20160508,NC,B,14,30,11,12,11,3,3,0.4,2,0.41379310344827586
20160508,LG,T,2,36,5,9,5,0,6,0.25,0,0.27586206896551724
20160508,OB,B,6,46,11,18,11,1,7,0.391304347826087,0,0.40540540540540543
20160508,LT,T,11,44,17,21,16,1,6,0.4772727272727273,4,0.5277777777777778
20160508,SS,B,14,43,8,12,8,2,10,0.27906976744186046,0,0.34375
20160508,SK,T,8,43,7,15,6,2,8,0.3488372093023256,2,0.3888888888888889
20160510,SK,B,7,38,7,13,7,2,11,0.34210526315789475,0,0.4444444444444444
20160510,OB,T,5,37,11,13,10,1,6,0.35135135135135137,1,0.2962962962962963
20160510,LG,B,9,33,3,9,3,1,4,0.2727272727272727,1,0.3
20160510,SS,T,8,41,9,17,9,1,3,0.4146341463414634,3,0.42105263157894735
20160511,HT,B,2,38,8,14,6,1,6,0.3684210526315789,3,0.41935483870967744
20160511,KT,T,3,34,3,9,3,0,9,0.2647058823529412,0,0.3333333333333333
20160511,HH,B,4,36,6,13,5,1,7,0.3611111111111111,0,0.4482758620689655
20160511,NC,T,10,35,5,9,4,1,8,0.2571428571428571,0,0.32142857142857145
20160511,SK,B,3,32,3,9,3,1,7,0.28125,0,0.36
20160511,OB,T,6,35,7,12,7,1,6,0.34285714285714286,2,0.3333333333333333
20160511,LG,B,6,45,16,22,16,2,6,0.4888888888888889,1,0.5263157894736842
20160511,SS,T,2,37,2,11,2,1,6,0.2972972972972973,0,0.3548387096774194
20160511,LT,B,1,34,2,9,1,0,9,0.2647058823529412,0,0.36
20160511,WO,T,5,43,16,17,16,0,13,0.3953488372093023,0,0.5
20160512,HT,B,4,38,10,16,10,0,10,0.42105263157894735,1,0.5384615384615384
20160512,KT,T,7,31,6,8,6,3,5,0.25806451612903225,0,0.24
20160512,HH,B,3,33,1,6,1,0,10,0.18181818181818182,0,0.2608695652173913
20160512,NC,T,14,36,12,12,11,3,10,0.3333333333333333,1,0.4230769230769231
20160512,SK,B,4,33,5,10,5,1,8,0.30303030303030304,0,0.30434782608695654
20160512,OB,T,3,35,2,10,2,0,7,0.2857142857142857,1,0.35714285714285715
20160512,LG,B,5,33,5,10,5,2,7,0.30303030303030304,0,0.38461538461538464
20160512,SS,T,12,34,7,9,6,2,6,0.2647058823529412,2,0.3103448275862069
20160512,LT,B,8,30,8,9,8,1,4,0.3,2,0.2916666666666667
20160512,WO,T,1,30,1,3,0,0,12,0.1,0,0.16666666666666666
20160513,HT,B,6,27,4,6,3,0,2,0.2222222222222222,2,0.24
20160513,HH,T,4,32,2,6,2,0,6,0.1875,1,0.23076923076923078
20160513,NC,B,1,35,4,9,4,0,11,0.2571428571428571,0,0.3181818181818182
20160513,KT,T,2,36,5,10,5,0,7,0.2777777777777778,0,0.2962962962962963
20160513,SS,B,4,40,8,13,8,0,8,0.325,0,0.3870967741935484
20160513,LT,T,15,37,14,14,13,1,6,0.3783783783783784,2,0.3793103448275862
20160513,WO,B,6,34,4,10,3,2,8,0.29411764705882354,1,0.35714285714285715
20160513,OB,T,7,39,8,15,8,2,8,0.38461538461538464,1,0.45161290322580644
20160513,LG,B,5,29,2,8,2,0,7,0.27586206896551724,2,0.36363636363636365
20160513,SK,T,4,30,1,3,1,0,7,0.1,1,0.13043478260869565
20160514,HT,B,4,36,8,12,7,0,3,0.3333333333333333,1,0.34375
