GDAY_DS,P_ID,TB_SC,INN2,BF,PA-AB,AB,HIT,H2,H3,HR,SB_SR,KK,WP,ER,ERA
2016-04-05,60636,B,2,7,0,2,0,0,0,0,0.0,1,0,0,0.0
2016-04-05,63111,T,18,99,3,22,6,1,0,1,0.0,9,1,2,0.3333333333333333
2016-04-05,75620,B,18,96,1,23,5,0,0,0,0.0,6,0,1,0.16666666666666666
2016-04-05,75668,B,3,16,0,4,1,0,0,0,1.0,1,0,0,0.0
2016-04-05,76650,T,4,18,0,4,0,0,0,0,0.0,1,0,0,0.0
2016-04-05,97336,B,4,18,0,5,1,0,0,0,0.0,1,0,0,0.0
2016-04-05,61323,T,7,62,5,10,4,0,1,0,1.0,0,0,6,2.571428571428571
2016-04-05,63248,B,1,7,0,2,1,0,0,0,0.0,0,0,0,0.0
2016-04-05,65933,T,3,16,0,4,1,0,0,0,0.0,1,0,0,0.0
2016-04-05,66928,T,4,26,2,4,1,1,0,0,0.0,2,0,0,0.0
2016-04-05,73241,B,5,23,0,5,0,0,0,0,0.0,2,0,0,0.0
2016-04-05,74513,B,18,104,6,21,4,0,0,0,0.0,7,0,2,0.3333333333333333
2016-04-05,75867,T,3,10,0,3,0,0,0,0,0.0,1,0,0,0.0
2016-04-05,77263,B,3,12,0,3,0,0,0,0,0.0,0,0,0,0.0
2016-04-05,78243,T,7,42,4,7,0,0,0,0,0.0,1,0,0,0.0
2016-04-05,63810,T,21,93,2,27,4,0,0,0,0.0,7,1,2,0.2857142857142857
2016-04-05,64021,B,19,102,2,20,2,2,0,0,0.0,7,0,0,0.0
2016-04-05,70615,B,0,1,0,1,0,0,0,0,0.0,0,0,0,0.0
2016-04-05,71801,B,2,11,0,2,0,0,0,0,0.0,1,0,0,0.0
2016-04-05,71845,T,2,13,2,2,1,0,0,0,0.0,0,0,0,0.0
2016-04-05,72535,B,1,1,1,0,0,0,0,0,0.0,0,0,0,0.0
2016-04-05,72862,B,0,7,1,2,2,0,0,0,0.0,0,0,1,0.0
2016-04-05,73226,B,1,6,0,1,0,0,0,0,1.0,1,0,0,0.0
2016-04-05,75250,T,1,5,0,1,0,0,0,0,0.0,0,0,0,0.0
2016-04-05,75321,B,4,24,1,4,0,0,0,0,0.0,3,0,0,0.0
2016-04-05,64001,B,3,20,2,4,0,0,0,0,0.0,0,0,0,0.0
2016-04-05,66440,T,8,68,8,11,5,1,0,0,0.0,1,0,5,1.875
2016-04-05,67845,B,15,99,3,21,5,1,0,0,0.0,3,0,0,0.0
2016-04-05,77446,T,3,11,0,3,0,0,0,0,0.0,1,0,0,0.0
2016-04-05,77927,T,3,7,0,3,1,0,0,0,0.0,0,0,0,0.0
2016-04-05,79191,B,6,35,1,7,2,0,0,0,0.0,2,0,0,0.0
2016-04-05,79440,T,10,73,2,15,5,3,0,1,1.0,4,1,3,0.8999999999999999
2016-04-05,99563,B,3,27,1,6,3,1,0,0,0.0,1,1,2,2.0
2016-04-05,60339,T,4,19,1,5,1,0,0,0,0.0,0,0,0,0.0
2016-04-05,60342,T,3,19,1,4,1,1,0,0,0.0,0,1,0,0.0
2016-04-05,66748,B,14,109,6,20,6,0,0,1,1.0,5,3,3,0.6428571428571428
2016-04-05,72447,B,4,22,1,3,0,0,0,0,0.0,1,0,0,0.0
2016-04-05,74857,B,3,17,0,3,0,0,0,0,0.0,0,0,0,0.0
2016-04-05,75342,T,1,20,1,5,4,0,0,0,1.0,0,0,2,6.0
2016-04-05,75750,T,16,71,3,21,7,3,0,0,0.0,1,0,6,1.125
2016-04-05,79764,B,2,9,0,2,0,0,0,0,0.0,2,0,0,0.0
2016-04-05,99737,B,4,23,1,4,1,0,0,0,0.0,3,0,0,0.0
2016-04-06,62929,T,17,94,2,21,4,0,0,1,0.0,5,0,2,0.3529411764705882
2016-04-06,62966,T,2,11,0,3,0,0,0,0,0.0,0,0,0,0.0
2016-04-06,63959,T,2,8,0,2,0,0,0,0,0.0,2,0,0,0.0
2016-04-06,66226,B,24,102,1,25,2,0,0,0,0.0,10,0,0,0.0
2016-04-06,76329,B,3,16,0,3,0,0,0,0,0.0,2,0,0,0.0
2016-04-06,78352,T,3,20,0,4,1,0,0,0,0.0,1,0,0,0.0
2016-04-06,63935,B,9,51,4,10,1,0,0,0,0.0,1,0,0,0.0
2016-04-06,64893,T,2,15,1,4,3,1,0,0,1.0,0,0,2,3.0
2016-04-06,72523,T,6,48,0,13,6,1,0,1,0.0,2,0,5,2.5
2016-04-06,72535,B,3,13,0,3,0,0,0,0,0.0,1,0,0,0.0
2016-04-06,72551,B,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
2016-04-06,74838,T,7,49,3,10,5,1,0,2,0.0,0,0,4,1.7142857142857142
2016-04-06,79349,B,3,10,1,3,0,0,0,0,0.0,0,0,0,0.0
2016-04-06,61365,T,2,8,0,2,0,0,0,0,0.0,0,0,0,0.0
2016-04-06,65058,B,12,81,4,20,7,1,0,0,1.0,1,1,3,0.75
2016-04-06,65067,B,3,29,1,7,4,1,1,0,1.0,0,0,4,4.0
2016-04-06,72463,T,3,16,0,4,1,0,0,0,0.0,2,1,0,0.0
2016-04-06,74454,T,18,89,1,24,4,2,0,1,0.0,3,0,4,0.6666666666666666
2016-04-06,79191,B,3,14,0,4,1,1,0,0,0.0,1,0,0,0.0
2016-04-06,79791,T,1,10,1,2,1,0,0,1,0.0,0,0,1,3.0
2016-04-06,99445,T,3,15,0,4,1,0,0,1,0.0,1,0,1,1.0
2016-04-06,99563,B,9,46,1,10,2,0,0,0,0.0,1,0,0,0.0
2016-04-06,60757,B,4,16,0,4,0,0,0,0,0.0,1,0,0,0.0
2016-04-06,62937,T,21,89,1,26,8,3,0,1,1.0,5,1,3,0.42857142857142855
2016-04-06,63791,B,6,35,0,6,0,0,0,0,0.0,4,0,0,0.0
2016-04-06,65343,T,3,24,0,5,2,0,0,1,0.0,0,0,1,1.0
2016-04-06,66741,B,5,38,4,6,2,1,0,0,0.0,1,0,1,0.6
2016-04-06,74731,B,1,14,2,1,0,0,0,0,0.0,0,1,2,6.0
2016-04-06,76350,T,3,11,0,4,1,0,0,0,0.0,0,0,0,0.0
2016-04-06,78760,B,2,12,0,3,1,1,0,0,0.0,1,0,0,0.0
2016-04-06,79764,B,8,41,1,9,1,0,0,0,0.0,4,0,2,0.75
2016-04-06,99737,B,1,21,1,3,2,0,0,0,0.0,1,1,1,3.0
2016-04-07,60146,T,3,12,0,3,0,0,0,0,0.0,1,0,0,0.0
2016-04-07,60636,B,3,16,0,5,2,0,0,0,0.0,0,0,1,1.0
2016-04-07,61891,T,4,28,2,5,1,1,0,0,0.0,2,1,1,0.75
2016-04-07,62146,T,1,1,0,1,0,0,0,0,0.0,0,0,0,0.0
2016-04-07,62648,B,3,11,0,3,0,0,0,0,0.0,2,0,0,0.0
2016-04-07,62698,T,15,72,0,21,7,4,0,0,1.0,2,0,3,0.6
2016-04-07,66628,B,16,102,3,23,7,1,0,1,1.0,6,0,5,0.9375
2016-04-07,70142,B,3,21,1,4,1,0,0,1,0.0,1,0,2,2.0
2016-04-07,70839,T,3,15,1,2,0,0,0,0,0.0,1,0,0,0.0
2016-04-07,71118,T,1,9,0,2,1,0,0,0,0.0,0,0,0,0.0
2016-04-07,76610,B,2,12,1,3,1,0,0,0,1.0,0,0,0,0.0
2016-04-07,61214,B,6,22,0,7,1,0,0,0,0.0,0,0,0,0.0
2016-04-07,63938,T,18,102,3,24,7,0,0,0,0.0,6,0,1,0.16666666666666666
2016-04-07,65933,T,3,28,1,5,2,1,0,0,0.0,1,0,1,1.0
2016-04-07,66928,T,3,8,0,3,0,0,0,0,0.0,0,0,0,0.0
2016-04-07,73211,B,8,77,2,17,9,2,0,0,0.0,2,0,6,2.25
2016-04-07,75867,T,3,18,0,4,1,0,0,0,0.0,2,1,0,0.0
2016-04-07,79293,B,3,11,0,3,0,0,0,0,0.0,0,0,0,0.0
2016-04-07,79535,B,10,49,0,14,5,0,1,0,0.0,2,0,2,0.6
2016-04-07,62056,T,3,24,0,4,1,0,0,1,0.0,0,0,1,1.0
2016-04-07,64596,B,6,26,2,6,1,0,0,0,0.0,0,1,1,0.5
2016-04-07,65543,B,16,102,3,24,10,1,0,3,0.6666666666666666,3,0,7,1.3125
2016-04-07,72551,B,5,28,1,6,1,0,0,0,0.0,2,0,0,0.0
2016-04-07,73248,T,2,11,1,2,1,0,0,0,0.0,0,1,1,1.5
2016-04-07,76858,T,1,6,0,1,0,0,0,0,0.0,0,0,0,0.0
2016-04-07,77829,T,21,102,1,24,3,1,0,0,0.0,8,0,1,0.14285714285714285
2016-04-07,61411,T,3,21,1,2,0,0,0,0,0.0,1,0,0,0.0
2016-04-07,64001,B,2,29,1,4,2,0,0,0,0.0,0,0,0,0.0
2016-04-07,64017,B,3,14,1,3,1,1,0,0,0.0,0,0,1,1.0
2016-04-07,65056,B,13,93,2,19,6,1,0,1,1.0,2,0,2,0.46153846153846156
2016-04-07,65060,B,6,33,1,6,0,0,0,0,1.0,1,0,0,0.0
2016-04-07,72463,T,3,10,0,3,1,0,0,0,0.0,0,0,0,0.0
2016-04-07,75149,B,3,18,0,3,0,0,0,0,0.0,1,0,0,0.0
2016-04-07,76455,T,21,108,3,25,3,1,0,0,0.0,8,1,1,0.14285714285714285
2016-04-07,60757,B,2,4,0,2,0,0,0,0,0.0,0,0,0,0.0
2016-04-07,63791,B,2,6,0,2,0,0,0,0,0.0,1,0,0,0.0
2016-04-07,65331,T,18,92,0,24,6,0,0,0,0.0,3,0,0,0.0
2016-04-07,71260,B,2,6,0,2,0,0,0,0,0.0,1,0,0,0.0
2016-04-07,72447,B,2,18,1,4,2,1,0,0,0.0,0,0,2,3.0
2016-04-07,72749,T,1,15,0,4,3,1,0,2,0.0,1,0,3,9.0
2016-04-07,73801,B,16,101,3,21,5,0,1,2,1.0,2,1,5,0.9375
2016-04-07,75342,T,2,25,1,4,2,0,0,0,0.0,2,0,0,0.0
2016-04-07,76430,T,6,24,0,7,1,1,0,0,0.0,4,0,0,0.0
2016-04-07,78760,B,3,6,0,2,0,0,0,0,0.0,0,0,0,0.0
2016-04-08,60757,T,3,17,0,5,2,1,0,0,1.0,0,1,0,0.0
2016-04-08,62966,B,0,6,1,1,1,1,0,0,0.0,0,0,2,0.0
2016-04-08,63791,T,1,9,0,2,2,0,0,0,0.0,0,0,1,3.0
2016-04-08,63959,B,1,2,0,1,0,0,0,0,0.0,0,0,0,0.0
2016-04-08,65764,T,11,91,4,15,4,1,0,1,1.0,4,1,3,0.8181818181818182
2016-04-08,65931,B,21,103,5,23,4,1,0,1,0.0,6,0,2,0.2857142857142857
2016-04-08,71260,T,2,12,1,1,0,0,0,0,1.0,0,0,0,0.0
2016-04-08,75867,B,3,12,0,3,0,0,0,0,0.0,0,0,0,0.0
2016-04-08,78352,B,2,27,2,3,0,0,0,0,0.0,3,1,0,0.0
2016-04-08,78760,T,2,5,1,2,1,0,0,0,0.0,0,0,1,1.5
2016-04-08,79764,T,2,16,1,2,0,0,0,0,0.0,2,1,0,0.0
2016-04-08,99737,T,3,17,1,3,0,0,0,0,0.0,0,0,0,0.0
2016-04-08,61643,T,3,15,0,3,0,0,0,0,0.0,1,0,0,0.0
2016-04-08,66049,B,21,113,3,23,3,0,0,0,1.0,5,0,0,0.0
2016-04-08,77318,B,6,30,1,5,0,0,0,0,0.0,2,0,0,0.0
2016-04-08,77637,T,21,104,2,28,8,2,0,0,1.0,2,0,2,0.2857142857142857
2016-04-08,60146,T,5,27,1,6,1,0,0,0,0.0,1,0,0,0.0
2016-04-08,61891,T,1,15,1,2,1,0,0,0,0.0,1,0,0,0.0
2016-04-08,62146,T,2,10,0,2,0,0,0,0,0.0,0,0,0,0.0
2016-04-08,65856,B,24,101,2,27,4,0,0,1,0.0,4,0,2,0.25
2016-04-08,73117,T,20,80,2,25,6,0,0,0,0.0,1,1,1,0.15
2016-04-08,75250,B,2,7,1,2,0,0,0,0,0.0,0,0,0,0.0
2016-04-08,76650,T,1,10,1,1,0,0,0,0,0.0,1,0,0,0.0
2016-04-08,76858,B,4,13,0,4,0,0,0,0,0.0,0,0,0,0.0
2016-04-08,61365,T,2,12,0,3,2,1,0,0,0.0,0,0,0,0.0
2016-04-08,65546,B,18,114,4,24,6,1,0,1,0.0,7,0,1,0.16666666666666666
2016-04-08,66402,T,21,111,2,25,6,1,0,1,1.0,8,0,2,0.2857142857142857
2016-04-08,70615,B,2,17,2,2,1,0,0,0,0.0,0,0,0,0.0
2016-04-08,72535,B,1,10,0,2,1,0,0,1,0.0,0,0,1,3.0
2016-04-08,72551,B,3,12,0,4,2,0,0,1,0.0,0,0,1,1.0
2016-04-08,73226,B,3,15,1,3,0,0,0,0,0.0,1,0,0,0.0
2016-04-08,74630,T,1,9,0,2,1,0,0,0,0.0,1,0,1,3.0
2016-04-08,77927,T,3,15,0,4,1,0,0,0,0.0,0,0,0,0.0
2016-04-08,60339,T,3,19,2,3,1,0,0,0,0.0,0,0,0,0.0
2016-04-08,60342,T,3,39,3,5,2,0,0,0,1.0,2,0,2,2.0
2016-04-08,61240,B,19,107,2,22,5,0,0,1,0.6666666666666666,11,2,2,0.31578947368421056
2016-04-08,66323,T,15,96,5,18,5,2,0,1,0.5,4,0,4,0.8
2016-04-08,73241,B,3,12,0,3,1,1,0,0,0.0,0,1,0,0.0
2016-04-08,74359,T,3,22,1,3,0,0,0,0,0.0,1,0,0,0.0
2016-04-08,76329,B,5,45,2,7,3,1,0,0,0.0,1,0,2,1.2
2016-04-09,60263,B,24,96,3,26,7,0,0,0,0.0,7,0,1,0.125
2016-04-09,60757,T,3,29,1,6,3,0,0,1,0.0,1,0,3,3.0
2016-04-09,63791,T,6,26,0,7,1,0,0,0,0.0,1,0,0,0.0
2016-04-09,66741,T,1,10,2,1,0,0,0,0,0.0,0,0,1,3.0
2016-04-09,74731,T,11,69,1,16,6,1,0,1,0.0,2,0,4,1.090909090909091
2016-04-09,78243,B,3,8,0,3,0,0,0,0,0.0,1,0,0,0.0
2016-04-09,78760,T,0,1,0,1,1,1,0,0,0.0,0,0,1,0.0
2016-04-09,79764,T,3,25,1,5,2,0,0,0,0.0,0,0,1,1.0
2016-04-09,60264,B,18,103,2,22,4,1,0,0,0.0,5,0,1,0.16666666666666666
2016-04-09,60636,T,0,8,1,1,1,0,0,0,0.0,0,0,2,0.0
2016-04-09,62648,T,3,21,1,4,2,0,0,0,1.0,2,0,0,0.0
2016-04-09,64001,B,1,6,0,1,0,0,0,0,1.0,1,0,0,0.0
2016-04-09,65062,B,1,11,1,2,1,0,0,0,1.0,0,0,0,0.0
2016-04-09,66643,T,21,105,1,26,7,2,0,0,0.0,5,0,1,0.14285714285714285
2016-04-09,75149,B,3,21,1,5,2,1,0,0,0.0,0,0,2,2.0
2016-04-09,79191,B,3,24,1,5,2,0,0,0,0.0,2,0,1,1.0
2016-04-09,97336,T,3,14,0,4,1,0,0,0,1.0,0,0,0,0.0
2016-04-09,99563,B,1,6,0,1,0,0,0,0,1.0,1,0,0,0.0
2016-04-09,60841,B,16,103,5,20,6,2,0,1,0.0,4,0,3,0.5625
2016-04-09,61101,T,12,59,2,13,2,0,0,1,0.0,5,0,1,0.25
2016-04-09,62463,T,12,61,3,14,3,0,0,2,0.0,2,0,3,0.75
2016-04-09,71845,B,8,32,0,9,2,0,0,0,0.0,1,0,0,0.0
2016-04-09,76858,B,3,19,1,3,0,0,0,0,0.0,0,0,0,0.0
2016-04-09,70615,B,1,12,1,2,1,0,0,1,0.0,0,0,2,6.0
2016-04-09,71801,B,2,10,1,1,0,0,0,0,0.0,0,0,0,0.0
2016-04-09,72535,B,1,6,1,1,0,0,0,0,0.0,0,0,0,0.0
2016-04-09,72862,B,3,20,0,4,1,0,0,0,0.0,0,0,0,0.0
2016-04-09,73226,B,1,12,1,2,1,0,0,0,0.0,0,0,0,0.0
2016-04-09,75321,B,4,19,0,6,3,0,0,0,0.0,1,0,0,0.0
2016-04-09,77446,T,4,29,0,6,2,0,0,0,0.0,4,0,0,0.0
2016-04-09,77591,B,15,110,2,20,5,0,0,0,0.5,8,0,1,0.2
2016-04-09,77927,T,5,46,1,9,5,0,0,0,0.0,0,0,3,1.7999999999999998
2016-04-09,79440,T,8,74,1,14,6,1,0,0,0.0,2,0,2,0.75
2016-04-09,79791,T,6,27,1,6,1,0,0,0,1.0,0,0,0,0.0
2016-04-09,99445,T,1,12,1,2,1,0,0,1,0.0,0,0,2,6.0
2016-04-09,61214,B,5,30,1,7,2,0,0,0,1.0,0,1,0,0.0
2016-04-09,63248,B,0,8,1,0,0,0,0,0,0.0,0,0,1,0.0
2016-04-09,65343,T,4,31,1,5,1,0,0,0,0.0,1,1,2,1.5
2016-04-09,65348,T,15,86,0,21,8,1,0,2,0.0,5,0,5,1.0
2016-04-09,73241,B,6,31,1,7,1,0,0,0,0.0,1,0,0,0.0
2016-04-09,75342,T,3,24,2,5,2,0,0,0,0.0,0,0,2,2.0
2016-04-09,76350,T,3,14,0,3,0,0,0,0,0.0,0,0,0,0.0
2016-04-09,76430,T,11,42,0,12,2,0,0,0,0.0,5,0,0,0.0
2016-04-09,77263,B,9,46,2,10,3,0,0,0,0.0,4,1,0,0.0
2016-04-09,79229,B,10,74,3,17,7,1,1,0,0.0,2,0,7,2.1
2016-04-09,79293,B,6,28,0,7,2,0,0,0,1.0,2,0,1,0.5
2016-04-09,79535,B,0,3,0,1,1,0,0,0,0.0,0,0,0,0.0
2016-04-10,61323,B,10,62,6,10,3,0,0,0,0.0,3,0,1,0.3
