GDAY_DS,P_ID,TB_SC,PA-AB,AB,RUN,RBI,HIT,SH+SF,KK,AVG,SB_trial
2016-04-01,76812,B,0,4,0,0,1,0,1,0.25,0
2016-04-01,76849,B,0,4,1,0,3,0,0,0.75,0
2016-04-01,77609,T,0,4,1,2,1,0,1,0.25,0
2016-04-01,78517,T,0,1,0,0,1,0,0,1.0,0
2016-04-01,78753,T,0,3,1,0,2,0,0,0.6666666666666666,1
2016-04-01,78892,T,0,5,1,2,1,0,3,0.2,0
2016-04-01,99810,T,1,4,2,0,1,0,1,0.25,1
2016-04-01,60523,T,0,5,0,0,3,0,1,0.6,1
2016-04-01,60558,T,0,4,0,0,1,0,1,0.25,0
2016-04-01,61353,B,0,1,0,0,0,0,0,0.0,0
2016-04-01,61366,B,0,1,0,0,1,0,0,1.0,0
2016-04-01,62353,B,0,0,0,0,0,0,0,0.0,1
2016-04-01,64300,B,0,4,0,0,0,0,1,0.0,0
2016-04-01,64346,B,1,1,0,0,0,0,0,0.0,0
2016-04-01,65523,T,0,4,0,1,1,0,1,0.25,0
2016-04-01,66306,B,0,4,0,0,0,0,1,0.0,0
2016-04-01,71552,T,0,4,0,0,2,0,1,0.5,0
2016-04-01,71562,T,0,1,0,0,0,0,0,0.0,0
2016-04-01,71565,T,0,4,0,0,0,0,1,0.0,0
2016-04-01,72546,T,0,0,0,0,0,0,0,0.0,0
2016-04-01,73342,B,1,3,0,1,0,1,0,0.0,0
2016-04-01,74215,B,1,3,0,0,2,0,1,0.6666666666666666,0
2016-04-01,74540,T,1,3,1,0,2,0,0,0.6666666666666666,0
2016-04-01,76313,T,0,5,0,0,0,0,0,0.0,0
2016-04-01,76368,B,0,0,0,0,0,0,0,0.0,0
2016-04-01,76536,T,0,3,0,0,0,0,0,0.0,0
2016-04-01,77463,B,1,3,0,0,1,0,1,0.3333333333333333,0
2016-04-01,77532,T,1,4,1,0,2,0,1,0.5,0
2016-04-01,77564,B,1,3,0,0,0,0,0,0.0,1
2016-04-01,78168,B,0,4,1,0,1,0,0,0.25,0
2016-04-01,79334,B,0,0,0,0,0,0,0,0.0,0
2016-04-01,79365,B,1,3,0,0,1,0,2,0.3333333333333333,0
2016-04-01,60456,B,0,2,0,0,0,0,1,0.0,0
2016-04-01,62404,B,0,4,0,0,1,0,0,0.25,1
2016-04-01,62415,B,1,3,0,0,1,0,0,0.3333333333333333,1
2016-04-01,63260,T,0,1,0,0,0,0,1,0.0,0
2016-04-01,64493,B,0,0,0,0,0,0,0,0.0,0
2016-04-01,66209,T,0,0,0,0,0,0,0,0.0,0
2016-04-01,66244,T,0,4,1,0,1,0,1,0.25,0
2016-04-01,66452,B,0,4,1,0,2,0,0,0.5,0
2016-04-01,71432,B,0,3,0,0,0,0,1,0.0,0
2016-04-01,72443,B,0,4,0,0,1,0,1,0.25,0
2016-04-01,72466,B,1,1,0,0,0,0,1,0.0,0
2016-04-01,74206,T,1,3,0,0,1,1,0,0.3333333333333333,1
2016-04-01,75334,T,0,0,0,0,0,0,0,0.0,0
2016-04-01,76232,T,1,3,1,2,2,0,0,0.6666666666666666,0
2016-04-01,76249,T,1,3,1,1,1,0,0,0.3333333333333333,0
2016-04-01,76267,T,2,1,0,1,0,1,0,0.0,0
2016-04-01,77248,T,0,4,1,0,2,0,0,0.5,1
2016-04-01,79215,T,0,4,1,0,1,0,1,0.25,0
2016-04-01,79231,T,1,3,0,0,0,0,0,0.0,1
2016-04-01,79240,T,0,5,0,0,0,0,0,0.0,0
2016-04-01,79402,B,0,3,0,0,1,0,2,0.3333333333333333,0
2016-04-01,79456,B,0,4,0,0,1,0,0,0.25,0
2016-04-01,79465,B,0,1,0,0,0,0,0,0.0,0
2016-04-01,95436,B,1,3,0,1,1,0,0,0.3333333333333333,0
2016-04-02,60404,T,0,2,0,0,0,0,0,0.0,0
2016-04-02,61102,B,1,2,1,0,1,0,0,0.5,0
2016-04-02,61186,B,0,4,0,0,2,0,1,0.5,1
2016-04-02,61700,T,0,3,1,0,1,0,1,0.3333333333333333,0
2016-04-02,62164,B,0,1,0,0,0,0,1,0.0,0
2016-04-02,62700,T,0,1,1,2,1,0,0,1.0,0
2016-04-02,63077,B,0,1,0,0,0,0,0,0.0,0
2016-04-02,63123,B,0,3,1,0,1,0,1,0.3333333333333333,0
2016-04-02,64086,T,1,4,0,2,3,1,1,0.75,0
2016-04-02,64153,B,0,3,0,0,0,0,1,0.0,0
2016-04-02,65103,B,0,5,1,1,1,0,2,0.2,0
2016-04-02,65115,B,0,0,0,0,0,0,0,0.0,0
2016-04-02,66740,T,1,4,2,1,1,0,1,0.25,0
2016-04-02,71347,T,1,5,0,0,0,1,1,0.0,0
2016-04-02,71610,T,0,2,0,0,1,0,1,0.5,0
2016-04-02,71752,T,2,4,1,0,1,0,0,0.25,0
2016-04-02,71842,B,0,2,0,0,0,0,0,0.0,0
2016-04-02,72133,B,2,4,3,2,2,0,1,0.5,1
2016-04-02,73136,T,1,5,1,0,0,0,1,0.0,0
2016-04-02,73602,T,0,1,0,0,0,0,0,0.0,0
2016-04-02,74729,T,1,1,1,1,1,0,0,1.0,0
2016-04-02,74823,B,1,5,1,0,0,0,1,0.0,0
2016-04-02,75808,T,0,6,0,1,4,0,0,0.6666666666666666,1
2016-04-02,76100,B,2,4,0,3,2,0,0,0.5,0
2016-04-02,79150,B,2,4,1,1,2,0,1,0.5,1
2016-04-02,79192,B,0,1,0,1,1,0,0,1.0,0
2016-04-02,79198,B,0,0,0,0,0,0,0,0.0,0
2016-04-02,95158,T,0,1,0,0,0,0,0,0.0,0
2016-04-02,98144,T,0,4,0,0,0,0,3,0.0,0
2016-04-02,99606,B,1,1,0,0,0,0,0,0.0,0
2016-04-02,61743,T,0,3,0,0,0,0,0,0.0,0
2016-04-02,62668,T,1,0,0,0,0,1,0,0.0,0
2016-04-02,62907,B,0,4,1,0,1,0,0,0.25,0
2016-04-02,62947,B,0,4,0,0,1,0,3,0.25,0
2016-04-02,63634,T,0,1,0,0,0,0,1,0.0,0
2016-04-02,63636,T,0,0,0,0,0,0,0,0.0,1
2016-04-02,64646,T,0,0,0,0,0,0,0,0.0,0
2016-04-02,64699,T,0,4,0,2,2,0,0,0.5,0
2016-04-02,64906,B,0,0,0,0,0,0,0,0.0,0
2016-04-02,64914,B,2,2,1,0,0,0,0,0.0,0
2016-04-02,65653,T,0,2,0,0,0,0,1,0.0,0
2016-04-02,66968,B,0,0,0,0,0,0,0,0.0,1
2016-04-02,70410,T,0,5,2,0,2,0,1,0.4,0
2016-04-02,70756,T,0,4,1,2,2,0,0,0.5,0
2016-04-02,71184,T,0,0,0,0,0,0,0,0.0,0
2016-04-02,71207,T,1,4,1,0,0,0,2,0.0,0
2016-04-02,72303,T,0,3,0,0,0,0,1,0.0,0
2016-04-02,73213,B,0,3,0,0,1,0,0,0.3333333333333333,0
2016-04-02,73306,B,0,1,0,0,0,0,0,0.0,0
2016-04-02,73339,B,0,4,0,0,1,0,1,0.25,0
2016-04-02,74223,B,0,1,0,0,0,0,0,0.0,0
2016-04-02,74465,B,1,3,1,3,1,0,0,0.3333333333333333,0
2016-04-02,74605,T,1,2,0,0,1,0,0,0.5,0
2016-04-02,75441,B,0,1,0,0,0,0,1,0.0,0
2016-04-02,77454,B,0,4,0,0,2,0,0,0.5,0
2016-04-02,78122,B,0,2,0,0,0,0,0,0.0,0
2016-04-02,78629,T,2,2,0,0,1,0,1,0.5,1
2016-04-02,78643,T,1,3,0,0,0,0,1,0.0,0
2016-04-02,94629,B,0,4,0,0,0,0,0,0.0,0
2016-04-02,64004,T,0,0,0,0,0,0,0,0.0,0
2016-04-02,64166,T,0,0,0,0,0,0,0,0.0,1
2016-04-02,65005,T,1,0,0,0,0,0,0,0.0,0
2016-04-02,66805,B,0,5,0,0,0,0,2,0.0,0
2016-04-02,70553,T,0,4,1,0,1,0,0,0.25,0
2016-04-02,70646,T,0,5,1,0,1,0,1,0.2,0
2016-04-02,71837,B,1,4,0,0,2,0,1,0.5,1
2016-04-02,71857,B,1,2,0,1,0,0,1,0.0,0
2016-04-02,73113,T,1,3,0,1,2,0,0,0.6666666666666666,0
2016-04-02,73153,T,4,1,0,0,0,1,0,0.0,0
2016-04-02,74339,T,0,5,1,0,1,0,0,0.2,0
2016-04-02,74846,B,0,5,0,1,1,0,0,0.2,0
2016-04-02,75151,B,1,4,1,2,2,0,0,0.5,0
2016-04-02,75847,B,2,3,2,0,1,0,0,0.3333333333333333,0
2016-04-02,76158,B,0,2,0,0,0,0,1,0.0,0
2016-04-02,76802,B,0,4,0,0,1,0,0,0.25,0
2016-04-02,76812,B,1,4,0,0,2,0,1,0.5,0
2016-04-02,76849,B,1,4,0,0,1,0,0,0.25,1
2016-04-02,76869,B,0,0,1,0,0,0,0,0.0,0
2016-04-02,77462,T,0,1,0,0,0,0,0,0.0,0
2016-04-02,77609,T,1,3,0,0,1,0,1,0.3333333333333333,0
2016-04-02,78517,T,0,3,0,1,1,0,0,0.3333333333333333,0
2016-04-02,78892,T,0,4,0,1,1,0,0,0.25,1
2016-04-02,99810,T,0,5,0,0,0,0,1,0.0,0
2016-04-02,60523,T,1,4,0,0,1,0,1,0.25,0
2016-04-02,60558,T,0,4,1,0,2,0,1,0.5,1
2016-04-02,61353,B,0,1,0,0,0,0,1,0.0,0
2016-04-02,62353,B,0,0,0,0,0,0,0,0.0,0
2016-04-02,64300,B,0,4,0,0,0,0,0,0.0,0
2016-04-02,64346,B,0,0,0,0,0,0,0,0.0,0
2016-04-02,65506,T,0,0,1,0,0,0,0,0.0,0
2016-04-02,65523,T,1,4,1,0,0,0,2,0.0,0
2016-04-02,66306,B,0,4,1,1,1,0,1,0.25,0
2016-04-02,71552,T,1,3,0,0,0,0,1,0.0,0
2016-04-02,71562,T,1,3,0,0,0,0,1,0.0,1
2016-04-02,71565,T,1,1,0,0,0,0,0,0.0,0
2016-04-02,73342,B,1,3,2,0,2,0,0,0.6666666666666666,0
2016-04-02,74215,B,0,4,0,0,1,0,0,0.25,0
2016-04-02,74540,T,0,4,0,0,0,0,2,0.0,0
2016-04-02,76313,T,0,4,0,1,3,0,0,0.75,1
2016-04-02,76368,B,0,2,0,0,1,0,0,0.5,1
2016-04-02,77463,B,1,3,0,1,1,0,2,0.3333333333333333,0
2016-04-02,77532,T,0,5,0,2,1,0,1,0.2,0
2016-04-02,77564,B,1,3,1,1,2,0,0,0.6666666666666666,1
2016-04-02,78168,B,1,3,1,0,0,0,1,0.0,0
2016-04-02,79356,T,0,2,0,0,1,0,0,0.5,0
2016-04-02,79365,B,1,3,0,2,1,0,1,0.3333333333333333,0
2016-04-02,60456,B,0,4,0,1,2,0,0,0.5,0
2016-04-02,61204,T,0,0,0,0,0,0,0,0.0,0
2016-04-02,62244,T,0,1,0,0,0,0,1,0.0,0
2016-04-02,62404,B,0,5,1,2,3,0,0,0.6,1
2016-04-02,62415,B,1,4,0,1,2,1,1,0.5,1
2016-04-02,63440,B,0,0,0,0,0,0,0,0.0,0
2016-04-02,64493,B,0,0,0,0,0,0,0,0.0,0
2016-04-02,64499,B,0,0,1,0,0,0,0,0.0,0
2016-04-02,66244,T,1,4,0,0,2,0,0,0.5,0
2016-04-02,66452,B,1,4,1,1,1,0,1,0.25,0
2016-04-02,71432,B,0,4,0,1,2,0,1,0.5,0
2016-04-02,72443,B,0,5,2,2,2,0,2,0.4,0
2016-04-02,74206,T,1,3,0,1,0,0,0,0.0,0
2016-04-02,76232,T,0,5,1,2,2,0,0,0.4,0
2016-04-02,76249,T,2,3,3,2,3,0,0,1.0,0
2016-04-02,76267,T,0,4,1,0,3,0,0,0.75,0
2016-04-02,77248,T,0,4,0,1,1,0,2,0.25,0
2016-04-02,78467,B,0,0,1,0,0,0,0,0.0,0
2016-04-02,79215,T,0,4,0,0,0,0,0,0.0,0
2016-04-02,79231,T,0,5,1,0,0,0,2,0.0,1
2016-04-02,79240,T,0,5,0,0,1,0,1,0.2,0
2016-04-02,79402,B,1,3,1,1,1,1,2,0.3333333333333333,0
2016-04-02,79456,B,1,3,1,0,1,0,0,0.3333333333333333,0
2016-04-02,95436,B,1,4,2,1,2,0,0,0.5,0
2016-04-03,62864,B,0,1,0,0,1,0,0,1.0,0
2016-04-03,64004,T,1,1,1,0,0,0,1,0.0,0
2016-04-03,64006,T,0,0,0,0,0,0,0,0.0,0
2016-04-03,64007,T,0,4,0,0,0,0,2,0.0,0
2016-04-03,64166,T,0,0,0,0,0,0,0,0.0,0
2016-04-03,65005,T,0,1,0,0,0,0,0,0.0,0
2016-04-03,66805,B,0,5,1,0,1,0,0,0.2,0
2016-04-03,70553,T,0,4,0,0,0,0,1,0.0,0
2016-04-03,71837,B,1,3,1,0,0,0,1,0.0,0
2016-04-03,71848,B,0,0,0,0,0,0,0,0.0,0
2016-04-03,71857,B,0,2,0,0,0,0,0,0.0,0
2016-04-03,72860,B,0,1,0,0,0,0,0,0.0,0
2016-04-03,73113,T,0,4,0,0,1,0,1,0.25,0
2016-04-03,73153,T,3,2,0,0,0,0,0,0.0,1
2016-04-03,74846,B,1,3,0,1,0,0,0,0.0,0
2016-04-03,75151,B,1,3,0,1,2,0,1,0.6666666666666666,0
2016-04-03,75847,B,2,2,0,1,1,1,0,0.5,0
2016-04-03,76802,B,0,4,2,1,2,0,0,0.5,0
2016-04-03,76812,B,0,4,0,0,1,0,0,0.25,1
2016-04-03,76849,B,1,4,0,0,0,0,2,0.0,1
2016-04-03,76869,B,0,0,0,0,0,0,0,0.0,0
2016-04-03,77462,T,0,2,0,0,0,0,1,0.0,0
2016-04-03,77609,T,0,4,1,2,2,0,0,0.5,0
2016-04-03,78517,T,0,5,1,0,2,0,2,0.4,0
2016-04-03,78892,T,1,3,1,0,0,0,1,0.0,0
2016-04-03,99810,T,2,3,1,3,2,0,0,0.6666666666666666,0
2016-04-03,60523,T,0,5,0,0,1,0,1,0.2,0
2016-04-03,60558,T,0,5,0,0,2,0,0,0.4,0
2016-04-03,61353,B,0,3,0,1,1,0,2,0.3333333333333333,0
2016-04-03,61366,B,0,1,0,0,0,0,1,0.0,0
2016-04-03,64300,B,0,4,1,1,1,0,1,0.25,0
2016-04-03,64346,B,0,0,0,0,0,0,0,0.0,0
2016-04-03,65523,T,0,5,1,2,1,0,1,0.2,0
2016-04-03,66306,B,2,3,1,1,1,0,0,0.3333333333333333,0
2016-04-03,71552,T,1,4,1,0,0,0,2,0.0,0
2016-04-03,71562,T,1,3,0,1,3,1,0,1.0,0
2016-04-03,71565,T,0,2,0,0,0,0,0,0.0,0
2016-04-03,72546,T,0,0,0,0,0,0,0,0.0,0
2016-04-03,73342,B,1,4,0,0,0,0,1,0.0,0
2016-04-03,74215,B,0,5,1,1,2,0,0,0.4,0
2016-04-03,74540,T,2,3,1,1,3,0,0,1.0,0
2016-04-03,76313,T,0,5,1,0,1,0,0,0.2,0
2016-04-03,76368,B,0,1,0,0,0,0,0,0.0,0
2016-04-03,77463,B,2,2,1,0,0,0,2,0.0,0
2016-04-03,77532,T,1,4,1,1,1,0,1,0.25,0
2016-04-03,77564,B,1,4,0,0,1,0,0,0.25,0
2016-04-03,78168,B,1,4,1,1,3,0,0,0.75,3
2016-04-03,78850,T,0,0,0,0,0,0,0,0.0,0
2016-04-03,79334,B,0,0,0,0,0,0,0,0.0,0
2016-04-03,79356,T,0,2,0,0,0,0,0,0.0,0
2016-04-03,79365,B,1,3,1,1,2,1,0,0.6666666666666666,0
2016-04-05,61102,T,0,2,0,0,0,0,0,0.0,0
2016-04-05,61186,T,0,4,0,0,2,0,0,0.5,0
2016-04-05,61743,B,0,3,0,0,0,0,2,0.0,0
2016-04-05,62668,B,0,1,0,0,0,0,1,0.0,0
2016-04-05,63123,T,0,3,0,0,0,0,1,0.0,0
2016-04-05,63636,B,0,0,0,0,0,0,0,0.0,0
2016-04-05,64153,T,0,4,0,1,1,0,0,0.25,0
2016-04-05,64646,B,0,1,0,0,0,0,0,0.0,0
2016-04-05,65103,T,0,4,1,0,2,0,0,0.5,1
2016-04-05,65115,T,1,2,0,0,0,0,2,0.0,0
2016-04-05,70410,B,0,4,0,0,0,0,0,0.0,0
2016-04-05,70756,B,1,2,1,0,0,0,1,0.0,0
2016-04-05,71207,B,1,3,0,2,2,0,1,0.6666666666666666,0
2016-04-05,71842,T,0,2,0,0,0,0,1,0.0,0
2016-04-05,72133,T,0,4,0,0,0,0,2,0.0,0
2016-04-05,72303,B,0,3,0,0,1,0,1,0.3333333333333333,0
2016-04-05,74605,B,0,3,2,2,3,0,0,1.0,0
2016-04-05,74823,T,0,0,0,0,0,0,0,0.0,0
2016-04-05,76100,T,0,4,0,0,0,0,2,0.0,0
2016-04-05,77648,B,0,1,0,0,0,0,0,0.0,0
2016-04-05,78629,B,1,3,0,0,0,0,2,0.0,0
2016-04-05,78643,B,0,3,0,0,0,0,2,0.0,0
2016-04-05,78765,B,0,1,1,0,0,0,0,0.0,0
2016-04-05,79150,T,0,4,0,0,2,0,0,0.5,0
2016-04-05,79192,T,0,1,0,0,0,0,1,0.0,0
2016-04-05,61208,B,2,1,1,0,0,0,0,0.0,0
2016-04-05,62907,T,0,5,1,0,1,0,1,0.2,0
2016-04-05,62947,T,0,4,0,0,1,0,1,0.25,0
2016-04-05,64914,T,1,3,0,0,0,0,3,0.0,0
2016-04-05,66244,B,2,2,0,0,0,0,1,0.0,0
2016-04-05,73213,T,0,3,0,0,0,0,1,0.0,0
2016-04-05,73306,T,0,1,0,0,0,0,0,0.0,0
2016-04-05,73339,T,1,3,0,0,0,0,1,0.0,0
2016-04-05,74206,B,1,3,1,1,0,0,1,0.0,0
2016-04-05,74223,T,1,2,0,0,0,0,0,0.0,0
2016-04-05,74358,T,1,3,0,0,0,0,1,0.0,0
2016-04-05,74465,T,1,3,0,2,1,0,1,0.3333333333333333,0
2016-04-05,75334,B,0,0,0,0,0,0,0,0.0,0
2016-04-05,76232,B,1,3,1,0,0,0,1,0.0,0
2016-04-05,76249,B,1,4,0,1,2,0,0,0.5,1
2016-04-05,76267,B,1,3,1,0,1,0,0,0.3333333333333333,0
2016-04-05,77248,B,1,3,0,0,2,0,0,0.6666666666666666,0
2016-04-05,77454,T,0,4,1,0,2,0,0,0.5,0
2016-04-05,78122,T,1,0,0,0,0,0,0,0.0,0
2016-04-05,79215,B,0,1,0,0,0,0,0,0.0,0
2016-04-05,79231,B,1,4,1,0,0,0,1,0.0,1
2016-04-05,79240,B,1,4,1,3,1,0,1,0.25,1
2016-04-05,60523,B,0,4,0,0,1,0,1,0.25,0
2016-04-05,60558,B,0,3,0,0,0,0,1,0.0,0
2016-04-05,65523,B,0,4,0,0,0,0,2,0.0,0
2016-04-05,66805,T,0,4,0,0,0,0,3,0.0,0
2016-04-05,71552,B,2,2,1,0,1,0,0,0.5,0
2016-04-05,71562,B,0,0,0,0,0,0,0,0.0,0
2016-04-05,71565,B,0,0,0,0,0,0,0,0.0,0
2016-04-05,71837,T,1,2,0,0,0,0,2,0.0,0
2016-04-05,71848,T,0,3,0,0,1,0,1,0.3333333333333333,0
2016-04-05,71857,T,0,0,0,0,0,0,0,0.0,0
2016-04-05,72546,B,0,1,0,0,0,0,0,0.0,0
2016-04-05,72860,T,1,0,0,1,0,1,0,0.0,0
2016-04-05,74540,B,2,2,1,0,0,0,0,0.0,0
2016-04-05,74846,T,0,4,0,0,1,0,1,0.25,0
2016-04-05,75151,T,1,3,0,0,0,0,0,0.0,0
2016-04-05,75847,T,0,4,0,0,0,0,2,0.0,0
2016-04-05,76313,B,0,4,0,0,1,0,1,0.25,0
2016-04-05,76536,B,0,3,0,2,2,0,0,0.6666666666666666,0
2016-04-05,76802,T,1,3,1,0,1,0,1,0.3333333333333333,0
2016-04-05,76812,T,1,3,0,0,0,0,1,0.0,0
2016-04-05,76849,T,0,4,0,0,1,0,1,0.25,1
2016-04-05,77532,B,0,4,0,0,0,0,0,0.0,0
2016-04-05,78850,B,0,0,0,0,0,0,0,0.0,0
2016-04-05,79356,B,0,3,0,0,0,0,2,0.0,0
2016-04-05,60456,T,0,5,0,2,2,0,0,0.4,0
2016-04-05,62404,T,1,4,0,0,2,0,0,0.5,0
2016-04-05,62415,T,1,4,0,0,1,0,1,0.25,0
2016-04-05,63440,T,0,2,0,0,1,0,1,0.5,0
2016-04-05,64004,B,0,0,0,0,0,0,0,0.0,0
2016-04-05,64006,B,0,0,0,0,0,0,0,0.0,0
2016-04-05,64007,B,0,4,1,0,1,0,0,0.25,0
2016-04-05,64166,B,0,0,0,0,0,0,0,0.0,0
2016-04-05,64499,T,0,0,0,0,0,0,0,0.0,0
2016-04-05,66452,T,0,5,0,0,1,0,0,0.2,0
2016-04-05,70553,B,0,4,1,0,1,0,2,0.25,0
2016-04-05,71432,T,1,4,1,0,2,0,0,0.5,0
2016-04-05,72443,T,0,5,0,0,0,0,2,0.0,0
2016-04-05,72466,T,0,0,1,0,0,0,0,0.0,0
2016-04-05,73113,B,1,4,1,1,1,0,1,0.25,0
2016-04-05,73153,B,3,2,1,1,1,0,1,0.5,1
2016-04-05,74339,B,2,3,1,2,2,1,1,0.6666666666666666,0
2016-04-05,77609,B,1,3,0,2,1,1,1,0.3333333333333333,0
2016-04-05,78467,T,0,0,1,0,0,0,0,0.0,0
2016-04-05,78517,B,0,5,1,2,3,0,0,0.6,1
2016-04-05,78892,B,2,3,1,0,1,0,0,0.3333333333333333,0
2016-04-05,79364,B,0,0,0,0,0,0,0,0.0,0
2016-04-05,79402,T,0,3,0,0,0,0,1,0.0,0
2016-04-05,79456,T,2,1,0,1,1,0,0,1.0,0
2016-04-05,79465,T,1,1,0,0,0,0,0,0.0,0
2016-04-05,95436,T,1,4,0,0,0,0,1,0.0,0
2016-04-05,99810,B,1,4,1,0,0,0,0,0.0,0
2016-04-05,60404,B,0,2,0,1,0,0,0,0.0,0
2016-04-05,61353,T,0,3,1,0,0,0,0,0.0,0
2016-04-05,61366,T,0,1,0,0,0,0,1,0.0,0
2016-04-05,61700,B,0,1,0,0,0,0,0,0.0,0
2016-04-05,62700,B,0,2,0,1,1,0,0,0.5,0
2016-04-05,64086,B,0,4,2,1,2,0,0,0.5,0
2016-04-05,64300,T,0,4,0,0,1,0,2,0.25,0
2016-04-05,64346,T,0,2,0,0,1,0,0,0.5,1
2016-04-05,66306,T,1,4,0,0,0,0,1,0.0,0
2016-04-05,66740,B,1,4,2,0,1,0,0,0.25,0
2016-04-05,71347,B,1,1,1,1,1,0,0,1.0,0
2016-04-05,71610,B,1,3,0,0,1,0,1,0.3333333333333333,0
2016-04-05,71752,B,1,3,1,1,0,1,0,0.0,0
2016-04-05,73136,B,1,4,0,1,2,0,0,0.5,0
2016-04-05,73342,T,1,4,1,0,1,0,2,0.25,1
2016-04-05,74215,T,2,1,1,0,0,0,0,0.0,0
2016-04-05,74729,B,0,2,1,1,2,0,0,1.0,0
2016-04-05,75808,B,0,5,2,0,2,0,0,0.4,1
2016-04-05,77463,T,2,2,0,1,0,0,1,0.0,0
2016-04-05,77564,T,0,4,1,1,1,0,1,0.25,0
2016-04-05,78168,T,2,3,1,0,2,0,1,0.6666666666666666,2
2016-04-05,79365,T,0,4,0,2,1,0,2,0.25,0
2016-04-05,95158,B,1,0,0,0,0,0,0,0.0,0
