B,T,GDAY_DS,T_ID,P_ID,TB_SC,BF,PA-AB,AB,HIT,H1,H2,H3,HR,SB_SR,KK,WP,SLG,BABIP,KK9,BB9,INN2,ER
1,0,2020-06-27,HH,60140,B,9,0,3,1,1,0,0,0,0.0,1,1,0,0.5,13.5,0.0,3.36,0.6
1,0,2020-07-17,SS,60146,B,9,0,2,1,1,0,0,0,0.0,0,0,0,0.5,0.0,0.0,3.2,0.6
1,0,2020-07-19,NC,60263,B,97,1,22,4,3,0,0,1,0.0,7,0,1,0.21428571428571427,10.5,1.5,16.82,2.05
0,1,2020-05-28,WO,60264,T,61,0,13,5,3,1,0,1,0.0,3,0,2,0.4444444444444444,10.125,0.0,7.17,1.69
1,0,2020-07-16,WO,60336,B,73,3,13,5,4,0,0,1,0.0,5,0,1,0.5714285714285714,16.875,10.125,8.77,1.61
1,0,2020-06-19,LG,60337,B,14,2,3,3,2,1,0,0,0.0,0,0,1,1.0,0.0,0.0,3.15,0.83
1,0,2020-06-13,NC,60339,B,41,1,9,5,1,2,0,2,0.0,2,0,4,0.6,13.5,6.75,8.8,1.63
0,1,2020-07-17,LT,60559,T,19,1,6,2,1,0,0,1,0.0,0,0,1,0.2,0.0,6.75,3.44,0.79
0,1,2020-07-10,SK,60768,T,8,1,1,0,0,0,0,0,0.0,0,0,0,0.0,0.0,27.0,2.91,0.49
1,0,2020-07-18,SK,60841,B,100,2,22,6,4,1,0,1,0.75,5,0,2,0.3125,7.5,3.0,15.66,2.73
1,0,2020-06-23,LG,60845,B,20,1,3,0,0,0,0,0,0.0,2,0,0,0.0,18.0,9.0,3.22,0.55
1,0,2020-07-17,LG,61101,B,93,2,20,2,1,1,0,0,0.0,5,0,1,0.13333333333333333,7.5,3.0,15.3,2.06
1,0,2020-07-17,LG,61145,B,11,1,1,1,1,0,0,0,0.0,0,0,0,1.0,0.0,0.0,3.24,0.67
0,1,2020-07-16,HH,61156,T,13,0,3,0,0,0,0,0,0.0,2,0,0,0.0,18.0,0.0,3.28,0.55
1,0,2020-06-27,HH,61214,B,14,1,3,2,0,0,0,2,0.0,1,0,2,0.0,27.0,27.0,4.61,0.78
0,1,2020-07-19,WO,61268,T,3,0,1,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,3.21,0.57
1,0,2020-07-18,NC,61295,B,6,0,3,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,3.22,0.55
1,0,2020-07-16,SS,61365,B,84,2,17,2,1,1,0,0,0.0,5,0,1,0.16666666666666666,7.9411764705882355,3.1764705882352944,13.2,1.91
0,1,2020-06-28,SS,61457,T,7,1,1,1,0,0,0,1,1.0,0,0,1,0.0,0.0,0.0,3.28,0.65
0,1,2020-07-19,OB,61643,T,9,0,3,1,1,0,0,0,0.0,0,0,0,0.3333333333333333,0.0,0.0,3.23,0.57
1,0,2020-07-19,SK,61895,B,17,2,2,0,0,0,0,0,0.0,0,0,0,0.0,0.0,27.0,3.36,0.6
0,1,2020-07-11,WO,61962,T,32,2,3,1,1,0,0,0,1.0,0,0,0,0.3333333333333333,0.0,27.0,3.45,0.63
1,0,2020-07-17,SK,62056,B,31,1,4,0,0,0,0,0,0.0,2,0,0,0.0,13.5,6.75,3.21,0.64
1,0,2020-07-17,LG,62146,B,12,0,3,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,3.22,0.55
1,0,2020-07-16,OB,62242,B,10,0,2,1,0,0,0,1,0.0,0,0,1,0.0,0.0,0.0,3.23,0.6
1,0,2020-05-15,HT,62263,B,32,0,11,6,5,1,0,0,0.0,0,0,1,0.5454545454545454,0.0,0.0,6.26,1.67
0,1,2020-05-05,OB,62294,T,9,2,0,0,0,0,0,0,1.0,0,0,0,0.0,0.0,0.0,3.43,0.68
0,1,2020-07-18,WO,62360,T,15,0,4,1,1,0,0,0,0.0,0,0,0,0.25,0.0,0.0,3.28,0.59
0,1,2020-07-18,WO,62363,T,99,1,24,4,3,0,0,1,0.0,7,0,1,0.1875,9.45,1.35,17.4,2.14
0,1,2020-07-19,LT,62528,T,33,1,5,1,1,0,0,0,1.0,3,0,0,0.5,20.25,6.75,3.2,0.69
0,1,2020-07-17,LT,62595,T,48,3,8,4,2,1,0,1,1.0,1,0,2,0.5,5.4,10.8,7.51,1.59
0,1,2020-05-19,HH,62611,T,64,2,17,9,6,2,0,1,0.0,1,0,3,0.5333333333333333,3.0,6.0,10.52,2.24
0,1,2020-06-05,NC,62655,T,18,1,2,0,0,0,0,0,0.0,0,0,0,0.0,0.0,9.0,3.19,0.49
1,0,2020-07-13,HT,62754,B,94,0,19,3,1,0,0,2,0.0,8,0,2,0.1111111111111111,13.5,0.0,5.49,1.56
1,0,2020-07-19,SK,62869,B,94,2,26,6,5,0,0,1,0.0,3,0,1,0.2272727272727273,3.8571428571428568,2.5714285714285707,17.02,2.67
0,1,2020-05-09,HT,62908,T,4,0,1,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,3.21,0.57
1,0,2020-07-16,SS,62920,B,8,0,3,1,0,0,0,1,0.0,1,0,1,0.0,13.5,0.0,3.3,0.66
0,1,2020-07-05,WO,62937,T,22,0,7,4,2,1,0,1,0.0,0,0,2,0.5,0.0,0.0,4.68,0.79
0,1,2020-07-19,OB,62951,T,16,1,2,0,0,0,0,0,0.0,0,0,0,0.0,0.0,13.5,3.14,0.46
0,1,2020-06-05,LG,63103,T,23,2,2,0,0,0,0,0,0.0,1,0,0,0.0,13.5,27.0,3.39,0.56
0,1,2020-07-19,OB,63248,T,29,2,3,0,0,0,0,0,0.0,1,0,0,0.0,9.0,18.0,3.55,0.53
0,1,2020-07-17,OB,63292,T,9,1,1,0,0,0,0,0,0.0,0,0,0,0.0,0.0,27.0,2.91,0.49
0,1,2020-07-18,WO,63342,T,23,1,3,0,0,0,0,0,0.0,1,0,0,0.0,9.0,9.0,3.22,0.52
0,1,2020-07-19,WO,63348,T,17,1,3,0,0,0,0,0,0.0,0,0,0,0.0,0.0,9.0,3.19,0.49
0,1,2020-07-17,HH,63464,T,18,1,5,2,1,1,0,0,0.0,1,0,1,0.5,9.0,9.0,3.45,0.66
0,1,2020-07-10,SS,63492,T,14,0,3,2,0,0,0,2,0.0,1,0,2,0.0,27.0,0.0,4.41,0.79
0,1,2020-07-19,LT,63512,T,7,0,2,1,1,0,0,0,0.0,0,0,0,0.5,0.0,0.0,3.18,0.58
0,1,2020-07-19,LT,63543,T,17,1,3,1,1,0,0,0,0.5,0,0,0,0.3333333333333333,0.0,9.0,3.2,0.72
1,0,2020-07-19,HT,63628,B,26,1,6,3,2,1,0,0,0.5,1,0,1,0.6,6.75,6.75,3.51,0.92
0,1,2020-07-16,HT,63638,T,17,0,6,1,1,0,0,0,0.0,1,0,0,0.2,5.4,0.0,3.32,0.61
0,1,2020-07-19,HH,63765,T,15,1,2,1,1,0,0,0,0.0,0,1,0,0.5,0.0,27.0,3.38,0.61
1,0,2020-07-17,SK,63894,B,22,1,5,2,2,0,0,0,1.0,2,0,0,0.6666666666666666,18.0,9.0,3.52,0.75
1,0,2020-06-13,NC,63950,B,50,4,8,2,0,0,1,1,0.0,1,1,2,0.14285714285714285,4.5,13.5,5.46,1.66
1,0,2020-07-17,NC,63959,B,15,0,3,1,1,0,0,0,0.0,0,0,0,0.3333333333333333,0.0,0.0,3.23,0.59
1,0,2020-06-17,HH,63961,B,17,1,3,1,1,0,0,0,0.0,0,0,0,0.3333333333333333,0.0,9.0,3.23,0.64
1,0,2020-07-17,NC,63991,B,22,0,6,0,0,0,0,0,0.0,1,0,0,0.0,4.5,0.0,3.34,0.59
0,1,2020-07-18,LT,64021,T,91,6,16,5,5,0,0,0,1.0,2,1,0,0.3333333333333333,4.909090909090909,12.272727272727273,14.42,2.37
1,0,2020-06-04,KT,64029,B,26,4,2,0,0,0,0,0,0.0,0,0,0,0.0,0.0,36.0,6.47,0.8
0,1,2020-07-19,KT,64047,T,5,0,1,0,0,0,0,0,0.0,1,0,0,0.0,27.0,0.0,3.0,0.49
0,1,2020-07-18,WO,64051,T,4,0,1,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,3.21,0.57
0,1,2020-07-17,HH,64554,T,29,2,6,0,0,0,0,0,0.0,2,0,0,0.0,9.0,9.0,3.65,0.49
0,1,2020-07-18,LT,64565,T,13,1,4,2,2,0,0,0,0.0,0,0,0,0.5,0.0,0.0,3.29,0.7
0,1,2020-07-18,LT,64596,T,2,0,1,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,3.21,0.57
1,0,2020-05-23,LT,64718,B,28,0,8,4,1,1,0,2,0.0,1,0,3,0.4,6.75,0.0,4.1,0.95
0,1,2020-07-17,HH,64760,T,37,2,6,2,0,0,0,2,0.0,1,0,2,0.0,9.0,18.0,4.22,0.83
1,0,2020-07-18,SK,64768,B,7,0,3,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,3.22,0.55
0,1,2020-06-04,OB,64805,T,13,1,3,3,1,2,0,0,0.0,0,0,2,1.0,0.0,0.0,3.35,0.67
0,1,2020-07-14,SK,64861,T,96,0,25,5,4,0,0,1,1.0,4,0,1,0.2,5.1428571428571415,0.0,17.23,2.63
1,0,2020-07-19,SK,64893,B,14,0,3,0,0,0,0,0,1.0,1,0,0,0.0,9.0,0.0,3.27,0.58
1,0,2020-07-19,NC,64995,B,13,0,3,0,0,0,0,0,0.0,1,0,0,0.0,9.0,0.0,3.28,0.57
0,1,2020-06-25,NC,65042,T,40,2,11,7,5,1,0,1,0.0,1,0,2,0.6666666666666666,9.0,18.0,10.23,2.05
1,0,2020-07-15,KT,65048,B,99,3,24,9,8,1,0,0,0.0,3,1,1,0.42857142857142855,5.4,5.4,17.88,2.57
0,1,2020-07-17,KT,65060,T,28,2,4,0,0,0,0,0,0.0,1,0,0,0.0,6.75,13.5,3.59,0.49
0,1,2020-07-17,KT,65062,T,36,1,6,1,1,0,0,0,1.0,3,0,0,0.3333333333333333,16.2,5.4,3.29,0.76
1,0,2020-07-10,LG,65117,B,48,3,11,5,4,1,0,0,0.0,0,0,1,0.4545454545454545,0.0,7.7142857142857135,6.21,1.91
0,1,2020-07-18,OB,65241,T,28,2,5,1,1,0,0,0,0.0,0,0,0,0.2,0.0,10.8,3.67,0.68
0,1,2020-07-10,WO,65320,T,83,3,21,9,6,1,0,2,0.0,0,0,3,0.3684210526315789,0.0,6.75,13.1,2.93
0,1,2020-07-11,SK,65343,T,9,0,2,0,0,0,0,0,0.0,0,1,0,0.0,0.0,0.0,3.24,0.43
0,1,2020-07-13,WO,65398,T,25,0,5,2,0,0,0,2,0.0,0,0,2,0.0,0.0,0.0,3.85,1.09
0,1,2020-07-16,SK,65411,T,25,1,4,1,1,0,0,0,0.0,2,0,0,0.5,18.0,9.0,3.21,0.6
1,0,2020-07-17,SS,65496,B,10,1,2,0,0,0,0,0,1.0,1,0,0,0.0,13.5,13.5,3.11,0.56
0,1,2020-05-16,WO,65509,T,18,0,3,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,3.21,0.57
0,1,2020-07-07,KT,65516,T,101,4,23,5,2,2,0,1,0.0,9,0,3,0.3076923076923077,13.5,6.0,16.89,2.68
1,0,2020-07-19,HT,65616,B,79,1,25,7,5,1,0,1,1.0,1,0,2,0.2608695652173913,1.5,1.5,16.28,3.13
1,0,2020-07-18,HT,65639,B,23,2,5,1,1,0,0,0,0.0,0,0,0,0.2,0.0,13.5,3.64,0.7
0,1,2020-07-05,HT,65643,T,24,1,5,3,1,0,1,1,0.0,0,0,2,0.5,0.0,13.5,3.28,0.67
1,0,2020-05-17,HT,65665,B,1,0,1,1,1,0,0,0,0.0,0,0,0,1.0,0.0,0.0,3.19,0.61
0,1,2020-06-07,HT,65696,T,11,1,1,1,1,0,0,0,0.0,0,1,0,1.0,0.0,0.0,3.5,0.72
0,1,2020-07-16,HH,65764,T,93,4,21,6,4,1,0,1,1.0,1,0,2,0.2631578947368421,1.5882352941176472,4.764705882352942,15.73,2.94
0,1,2020-07-15,HH,65769,T,103,2,22,5,4,1,0,0,0.0,9,0,1,0.38461538461538464,14.294117647058822,3.1764705882352944,14.59,2.49
1,0,2020-07-18,NC,65933,B,95,2,22,2,2,0,0,0,0.0,10,0,0,0.16666666666666666,12.857142857142856,2.5714285714285707,15.85,2.04
1,0,2020-07-16,WO,66018,B,23,2,5,2,2,0,0,0,0.0,0,0,0,0.4,0.0,13.5,3.14,0.68
0,1,2020-07-01,KT,66039,T,27,2,4,4,3,1,0,0,0.0,0,0,1,1.0,0.0,0.0,5.17,1.02
1,0,2020-05-19,KT,66047,B,13,2,3,2,2,0,0,0,0.0,0,0,0,0.6666666666666666,0.0,54.0,3.16,0.65
1,0,2020-07-19,LG,66145,B,8,2,2,1,1,0,0,0,0.0,0,1,0,0.3333333333333333,0.0,13.5,3.35,0.67
0,1,2020-07-19,OB,66291,T,101,3,20,7,6,0,1,0,0.0,4,0,1,0.4375,7.2,5.4,16.31,2.05
0,1,2020-07-13,WO,66305,T,42,2,6,3,3,0,0,0,0.0,0,0,0,0.5,0.0,18.0,3.44,0.84
1,0,2020-07-17,HT,66609,B,14,1,2,0,0,0,0,0,0.0,0,0,0,0.0,0.0,9.0,3.19,0.59
1,0,2020-05-31,HT,66630,B,18,0,5,3,2,1,0,0,0.0,0,0,1,0.6,0.0,0.0,3.34,0.72
1,0,2020-07-07,HT,66663,B,31,0,7,1,1,0,0,0,0.0,0,0,0,0.14285714285714285,0.0,0.0,3.3,0.75
1,0,2020-07-17,SK,66859,B,79,3,15,7,5,1,0,1,1.0,2,1,2,0.5,6.0,9.0,11.88,2.43
0,1,2020-07-15,NC,66920,T,106,4,19,6,4,2,0,0,0.0,2,0,2,0.35294117647058826,3.6,7.2,13.06,2.7
0,1,2020-05-22,KT,67008,T,11,2,1,1,0,1,0,0,0.0,0,0,1,1.0,0.0,0.0,3.31,0.72
0,1,2020-07-18,KT,67045,T,74,2,16,6,3,2,0,1,0.0,0,0,3,0.3333333333333333,0.0,5.4,10.09,2.01
1,0,2020-07-19,LG,67119,B,8,0,3,0,0,0,0,0,0.0,1,0,0,0.0,9.0,0.0,3.28,0.57
0,1,2020-07-18,OB,67246,T,19,0,5,2,2,0,0,0,0.0,1,0,0,0.5,9.0,0.0,3.54,0.69
0,1,2020-07-10,OB,67259,T,30,1,6,3,1,0,0,2,0.0,0,0,2,0.25,0.0,9.0,3.95,0.88
0,1,2020-07-18,OB,67263,T,87,2,18,5,5,0,0,0,0.0,3,0,0,0.3333333333333333,5.4,3.6,15.22,2.38
1,0,2020-07-16,OB,67266,B,56,1,16,4,4,0,0,0,1.0,2,0,0,0.2857142857142857,4.5,2.25,11.01,2.37
0,1,2020-07-19,WO,67313,T,82,1,18,4,4,0,0,0,0.0,7,1,0,0.3636363636363637,12.6,1.8,14.06,2.17
0,1,2020-07-19,WO,67391,T,32,2,2,0,0,0,0,0,0.0,1,0,0,0.0,13.5,27.0,3.39,0.56
1,0,2020-07-18,SS,67421,B,24,1,4,1,1,0,0,0,1.0,1,0,0,0.3333333333333333,9.0,9.0,3.19,0.7
1,0,2020-07-17,SS,67443,B,15,1,3,3,2,0,0,1,0.0,0,0,1,1.0,0.0,0.0,4.36,0.83
1,0,2020-07-10,LT,67591,B,42,1,11,3,2,0,0,1,0.0,1,0,1,0.2222222222222222,3.0,3.0,3.61,1.38
0,1,2020-07-17,WO,67603,T,48,3,10,3,3,0,0,0,0.0,2,1,0,0.375,7.7142857142857135,11.571428571428573,10.5,1.51
1,0,2020-06-21,HT,67646,B,29,1,9,3,2,0,0,1,0.0,2,0,1,0.3333333333333333,6.75,3.375,4.06,1.06
0,1,2020-07-15,HH,67703,T,22,1,5,3,3,0,0,0,0.0,2,1,0,0.75,18.0,0.0,4.6,0.88
0,1,2020-07-05,HH,67737,T,7,1,1,1,1,0,0,0,0.0,0,1,0,1.0,0.0,0.0,3.5,0.72
1,0,2020-06-07,WO,67828,B,30,0,8,5,5,0,0,0,0.0,0,0,0,0.625,0.0,0.0,5.05,1.2
0,1,2020-07-14,SK,67863,T,25,0,7,5,3,0,2,0,0.0,0,2,2,0.7142857142857143,0.0,0.0,3.84,0.9
1,0,2020-06-21,NC,67954,B,68,4,11,2,2,0,0,0,0.0,2,1,0,0.2222222222222222,6.0,12.0,8.75,1.76
0,1,2020-07-18,KT,68043,T,23,1,5,1,1,0,0,0,0.0,1,0,0,0.25,6.75,6.75,3.26,0.64
0,1,2020-07-15,LG,68135,T,93,1,24,8,6,0,0,2,0.0,3,0,2,0.3157894736842105,4.5,1.5,16.58,2.86
1,0,2020-07-04,OB,68200,B,9,0,3,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,3.22,0.55
0,1,2020-05-16,OB,68249,T,30,1,6,3,1,2,0,0,0.0,0,1,2,0.5,0.0,9.0,3.82,0.75
0,1,2020-07-19,WO,68341,T,33,3,4,1,1,0,0,0,0.0,2,1,0,0.5,27.0,40.5,3.58,0.73
1,0,2020-07-18,SS,68403,B,21,2,3,0,0,0,0,0,0.0,1,1,0,0.0,9.0,18.0,3.4,0.58
1,0,2020-07-17,SS,68419,B,113,2,25,7,5,2,0,0,0.0,4,0,2,0.3333333333333333,5.4,1.35,16.85,2.61
0,1,2020-05-17,LT,68529,T,37,1,9,1,1,0,0,0,0.0,1,0,0,0.125,3.8571428571428568,3.8571428571428568,3.6,0.86
1,0,2020-05-30,HT,68616,B,17,2,3,1,1,0,0,0,0.0,0,1,0,0.3333333333333333,0.0,18.0,3.28,0.63
0,1,2020-07-17,HH,68701,T,81,3,15,6,4,1,0,1,0.0,6,1,2,0.625,13.5,6.75,10.21,2.15
0,1,2020-05-24,HH,68703,T,2,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,3.23,0.55
0,1,2020-07-11,NC,68900,T,23,0,6,4,3,1,0,0,0.0,1,0,1,0.8,13.5,0.0,3.92,0.6
1,0,2020-07-16,KT,69032,B,97,0,25,5,5,0,0,0,0.0,7,0,0,0.2777777777777778,9.0,0.0,17.76,1.98
0,1,2020-07-19,KT,69041,T,15,1,3,0,0,0,0,0,0.0,0,0,0,0.0,0.0,9.0,3.19,0.49
1,0,2020-07-15,OB,69045,B,104,1,24,8,8,0,0,0,1.0,6,0,0,0.42105263157894735,9.0,0.0,17.16,2.44
1,0,2020-06-20,KT,69054,B,45,2,12,6,4,2,0,0,0.0,1,1,2,0.5454545454545454,3.8571428571428568,7.7142857142857135,6.71,1.86
1,0,2020-05-19,KT,69068,B,12,0,3,3,1,1,0,1,0.0,0,0,2,1.0,0.0,0.0,3.22,0.67
1,0,2020-05-26,KT,69098,B,24,3,3,1,1,0,0,0,0.0,1,0,0,0.3333333333333333,9.0,18.0,3.64,0.68
1,0,2020-07-19,LG,69103,B,96,1,25,6,4,2,0,0,0.0,11,0,2,0.42857142857142855,15.63157894736842,1.4210526315789471,13.58,2.28
0,1,2020-06-26,LG,69111,T,29,2,5,3,3,0,0,0,0.0,0,1,0,0.6,0.0,18.0,3.39,0.92
1,0,2020-07-18,LG,69159,B,33,1,7,3,3,0,0,0,0.0,0,0,0,0.42857142857142855,0.0,5.4,3.09,0.92
0,1,2020-06-30,OB,69205,T,12,2,1,1,0,1,0,0,0.0,0,0,1,1.0,0.0,0.0,3.31,0.72
1,0,2020-07-15,WO,69343,B,88,2,25,8,6,0,1,1,0.0,2,0,2,0.3181818181818182,2.5714285714285707,2.5714285714285707,15.88,2.69
1,0,2020-07-02,WO,69360,B,24,2,5,3,2,1,0,0,0.0,0,0,1,0.6,0.0,27.0,3.15,0.74
0,1,2020-07-19,WO,69399,T,6,0,2,1,1,0,0,0,0.0,0,0,0,0.5,0.0,0.0,3.18,0.58
1,0,2020-07-18,SS,69439,B,77,2,18,5,4,1,0,0,0.0,2,0,1,0.3125,3.6,3.6,13.73,2.46
0,1,2020-07-08,SS,69446,T,101,5,21,6,5,0,0,1,0.5,4,0,1,0.3125,6.352941176470589,7.9411764705882355,14.57,2.75
1,0,2020-07-18,HT,69516,B,59,5,12,5,5,0,0,0,0.0,0,0,0,0.4166666666666667,0.0,13.5,10.55,1.98
0,1,2020-07-17,LT,69539,T,83,2,16,7,5,2,0,0,1.0,3,1,2,0.5384615384615384,9.0,6.0,10.71,2.09
1,0,2020-07-18,HT,69620,B,79,5,12,4,3,1,0,0,0.0,1,0,1,0.3076923076923077,2.0769230769230766,4.153846153846153,12.31,2.83
1,0,2020-06-05,HH,69737,B,21,1,4,1,0,0,0,1,0.0,0,0,1,0.0,0.0,9.0,3.33,0.72
0,1,2020-07-19,HH,69744,T,94,1,28,5,2,1,1,1,0.0,3,0,3,0.16666666666666666,3.6818181818181817,1.2272727272727273,13.51,2.25
1,0,2020-06-07,HH,69745,B,79,5,11,4,1,3,0,0,0.0,1,0,3,0.4,3.375,16.875,8.72,2.3
0,1,2020-07-05,HH,69748,T,91,2,24,9,8,0,0,1,1.0,3,2,1,0.4,5.0625,3.375,16.26,2.62
0,1,2020-06-21,SK,69813,T,19,2,2,1,1,0,0,0,1.0,1,0,0,1.0,27.0,54.0,3.59,0.72
0,1,2020-07-16,SK,69839,T,77,2,17,6,4,2,0,0,1.0,4,0,2,0.42857142857142855,9.0,2.25,12.87,2.25
0,1,2020-07-16,NC,69940,T,100,1,26,5,5,0,0,0,0.0,5,1,0,0.2380952380952381,6.428571428571428,1.2857142857142856,18.39,2.32
1,0,2020-07-19,NC,69962,B,16,0,4,1,1,0,0,0,0.0,1,0,0,0.3333333333333333,9.0,0.0,3.26,0.61
1,0,2020-06-10,NC,69974,B,40,1,9,4,2,1,0,1,0.0,1,0,2,0.42857142857142855,4.5,4.5,3.78,1.14
0,1,2020-07-02,OB,72447,T,4,0,1,1,0,0,1,0,0.0,0,0,1,1.0,0.0,0.0,2.87,0.6
1,0,2020-06-10,LT,72523,B,16,0,4,1,1,0,0,0,0.0,0,0,0,0.25,0.0,0.0,3.28,0.6
1,0,2020-07-19,SS,73117,B,18,0,3,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,3.22,0.55
0,1,2020-06-21,LT,73211,T,86,0,23,6,4,0,0,2,1.0,4,0,2,0.2352941176470588,6.0,0.0,16.85,2.51
1,0,2020-06-28,HH,73738,B,17,2,4,2,0,1,0,1,0.0,1,0,2,0.5,9.0,9.0,3.6,0.72
1,0,2020-06-02,HH,73750,B,36,2,10,5,5,0,0,0,0.0,2,0,0,0.5555555555555556,9.0,4.5,7.07,1.72
0,1,2020-07-04,LG,73801,T,6,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,3.23,0.55
0,1,2020-05-28,WO,74359,T,5,0,2,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,3.21,0.57
0,1,2020-05-16,SS,74454,T,62,4,10,8,7,0,1,0,1.0,0,0,1,0.7272727272727273,0.0,13.5,9.81,1.99
0,1,2020-07-15,HH,74857,T,10,0,2,0,0,0,0,0,0.0,2,0,0,0.0,27.0,0.0,3.0,0.49
1,0,2020-07-19,SK,75138,B,9,0,2,1,1,0,0,0,0.0,0,0,0,0.5,0.0,0.0,3.2,0.6
1,0,2020-07-10,KT,75258,B,21,1,4,3,3,0,0,0,0.0,0,0,0,0.75,0.0,27.0,3.47,0.73
0,1,2020-07-18,KT,75340,T,28,0,7,3,3,0,0,0,1.0,1,0,0,0.5,6.75,0.0,6.15,1.04
0,1,2020-07-19,KT,75342,T,9,0,3,1,1,0,0,0,0.0,0,0,0,0.3333333333333333,0.0,0.0,3.23,0.57
1,0,2020-07-18,SS,75421,B,10,0,4,1,1,0,0,0,0.0,0,0,0,0.25,0.0,0.0,3.28,0.6
1,0,2020-07-19,NC,75867,B,18,0,3,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,3.22,0.55
1,0,2020-07-17,NC,76118,B,25,1,4,1,1,0,0,0,0.0,0,0,0,0.25,0.0,9.0,3.26,0.69
0,1,2020-07-18,LT,76225,T,15,0,4,1,1,0,0,0,0.0,1,0,0,0.3333333333333333,9.0,0.0,3.27,0.58
